Id_Regione;ID_Unità;Provincia;Comune - Frazione;Categoria;Descrizione materiali;Tipologia;A - Friabilità;B - Uso pubblico;C - Accessibilità;D - Presenza di confinamento;I1 - Quantità di materiale stimato (Kg);Peso stimato friabile (kg);Peso stimato compatto (kg);I2 - Presenza di un programma di manutenzione e controllo;I3 - Attività;I4 - Dispersione di fibre;I5 - Concentrazione di fibre aerodisperse (ff/l);I6 - Area di estensione del sito (m2);Effettiva area perimetrale (m2);I7 - Superficie esposta all’aria (m2);Effettiva superficie con amianto friabile  (m2);Effettiva superficie con amianto compatto (m2);I8 - Coinvolgimento del sito in lavori di urbanizzazione;I9 - Stato di conservazione delle strutture edili;I10 - Tempo trascorso dalla dismissione (anni);Data dismissione (gg-mm-aaaa);I11 - Tipologia di amianto presente;I12 - Dati epidemiologici;I13 - Frequenza di utilizzo;I14 - Distanza dal centro urbano (m);Distanza dal centro urbano (km);I15 - Densità di popolazione;I16 - Età media dei soggetti frequentatori (anni);Tipo di bonifica;Tipo di intervento;Costi Totali stimati dell intervento (€);Fondi locali/regionali assegnati;Fondi da richiedere;Classe di priorità;Coefficiente di priorità;Punteggio Mappatura;Coordinate X (WGS84-UTM fuso 32);Coordinate Y (WGS84-UTM fuso 32)
117;A62047;No;Bellinzago Novarese;2;lastre;cimitero;1;2,5;2,5;2,5;10;;;10;1;1;2;9;16191;5;;;1;5;1;;1;1;20;5;0;4;2;-;A Incapsulamento;;;;2;0,8;938;0;0
117;A62048;No;Bellinzago Novarese;2;lastre;cimitero;1;2,5;2,5;2,5;10;;;10;1;1;2;9;16191;5;;;1;5;1;;1;1;20;5;0;4;2;-;A Incapsulamento;;;;2;0,8;938;0;0
117;A62049;No;Bellinzago Novarese;2;lastre;cimitero;1;2,5;2,5;2,5;10;;;10;1;1;2;9;16191;5;;;1;5;1;;1;1;20;5;0;4;2;-;A Incapsulamento;;;;2;0,8;938;0;0
117;A62052;No;Bellinzago Novarese;2;lastre;cimitero;1;2,5;2,5;2,5;10;;;10;1;1;2;9;16191;5;;;1;30;1;;1;1;20;5;0;4;2;-;A Incapsulamento;;;;2;0,8;1238;0;0
117;A62056;No;Bellinzago Novarese;2;lastre;cimitero;1;2,5;2,5;2,5;10;;;10;1;1;2;9;16191;5;;;1;5;1;;1;1;20;5;0;4;2;-;A Incapsulamento;;;;2;0,8;938;0;0
117;A64206;No;Maggiora;2;lastre;edifici industriali;1;1;1;2,5;15;;;1;1;1;2;9;50000;8;;;1;5;1;;1;1;20;3;0.6;2;2;-;-;;;;4;0,4;237;0;0
117;A64207;No;Maggiora;2;lastre;edifici industriali;1;1;1;2,5;15;;;1;1;1;2;9;50000;8;;;1;5;1;;1;1;20;3;0.6;2;2;-;-;;;;4;0,4;237;0;0
117;A64289;No;Borgomanero;2;LASTRE;edifici industriali;1;1;1;2,5;10;;;1;1;1;2;9;6300;8;;;1;5;1;;1;1;20;3;0.3;4;2;-;-;;;;4;0,4;241;0;0
117;A64290;No;Borgomanero;2;LASTRE;edifici industriali;1;1;1;2,5;10;;;1;1;1;2;9;6300;5;;;1;5;1;;1;1;20;3;0.3;4;2;-;-;;;;4;0,4;229;0;0
117;A64294;No;Borgomanero;2;LASTRE;edifici industriali;1;1;1;2,5;15;;;1;1;1;2;9;6300;8;;;1;5;1;;1;1;20;3;0.3;4;2;-;-;;;;4;0,4;262;0;0
117;A64296;No;Borgomanero;2;LASTRE;edifici industriali;1;1;1;2,5;10;;;1;1;1;2;9;6300;5;;;1;5;1;;1;1;20;3;0.3;4;2;-;-;;;;4;0,4;229;0;0
117;A64302;No;Cureggio;2;LASTRE;tettoia magazzino;1;1;1;2,5;10;;;1;1;1;2;5;3800;5;;;1;5;1;;1;1;20;3;0.2;4;2;-;-;;;;4;0,4;212;0;0
117;A64342;No;Borgomanero;2;Lastre;edificio industriale;1;1;1;1;15;;;1;1;1;2;9;12000;8;;;1;5;1;;1;1;5;1;;2;2;Incapsulamento;-;;;;5;0,3;91;0;0
117;A64344;No;Borgomanero;2;Lastre;edificio industriale;1;1;1;1;15;;;1;1;1;2;9;12000;8;;;1;5;1;;1;1;5;1;;2;2;Incapsulamento;-;;;;5;0,3;91;0;0
117;A64346;No;Borgomanero;2;LASTRE;edifici industriali;1;1;1;2,5;15;;;1;1;1;2;9;6400;8;;;1;5;1;;1;1;20;1;;2;2;-;-;;;;4;0,4;220;0;0
117;A64347;No;Borgomanero;2;LASTRE;edifici industriali;1;1;1;2,5;10;;;1;1;1;2;9;6400;5;;;1;5;1;;1;1;20;1;;2;2;-;-;;;;4;0,4;187;0;0
117;A64414;No;Borgomanero;2;Lastre;edifici industriali;1;1;1;2,5;15;;;1;1;1;2;9;6500;8;;;1;5;1;;1;1;20;3;0.46;4;2;-;-;;;;4;0,4;262;0;0
117;A64415;No;Borgomanero;2;Lastre;edifici industriali;1;1;1;2,5;10;;;1;1;1;2;9;6500;5;;;1;5;1;;1;1;20;3;0.46;4;2;-;-;;;;4;0,4;229;0;0
117;A64421;No;Borgomanero;2;lastre ondulate;capannone industriale;1;1;2,5;2,5;15;;;1;1;1;2;5;4000;8;;;1;5;1;;1;1;20;1;;2;2;-;-;;;;3;0,7;498;0;0
117;A64422;No;Borgomanero;2;tegole;edifici industriali;1;1;1;2,5;10;;;1;1;1;2;9;6500;5;;;1;5;1;;1;1;20;3;0.46;4;2;-;-;;;;4;0,4;229;0;0
117;A64426;No;Borgomanero;2;lastre ondulate;civile abitazione;1;1;2,5;2,5;10;;;1;1;1;2;5;2600;5;;;1;5;1;;1;1;20;1;;2;2;-;-;;;;3;0,7;423;0;0
117;A64586;No;Borgomanero;2;lastre ondulate;capannone industriale;1;1;2,5;2,5;15;;;1;1;1;2;9;6000;8;;;1;5;1;;1;1;20;1;;2;2;-;-;;;;3;0,7;527;0;0
117;A64590;No;Borgomanero;2;Lastre;edifici artigianali;1;1;2,5;2,5;10;;;1;1;1;2;5;3600;5;;;1;5;1;;1;1;20;1;;2;2;-;-;;;;3;0,7;423;0;0
117;A64591;No;Borgomanero;2;lastre;edificio artigianale;1;1;2,5;2,5;10;;;1;1;1;2;5;4000;8;;;1;5;1;;1;1;20;1;;2;2;-;-;;;;3;0,7;445;0;0
117;A64593;No;Borgomanero;2;lastre;edificio residenziale (autorimessa);1;1;2,5;2,5;10;;;1;1;1;2;5;1400;5;;;1;5;1;;1;1;20;1;;2;10;-;-;;;;3;0,7;482;0;0
117;A64595;No;Borgomanero;2;lastre;distribuzione commerciale;1;1;2,5;2,5;15;;;1;1;1;2;9;10800;8;;;1;5;1;;1;1;20;1;;2;2;-;-;;;;3;0,7;527;0;0
117;A64596;No;Borgomanero;2;Lastre;distribuzione commerciale;1;1;2,5;2,5;15;;;1;1;1;2;9;10800;8;;;1;5;1;;1;1;20;1;;2;2;-;-;;;;3;0,7;527;0;0
117;A64597;No;Borgomanero;2;LASTRE;distribuzione commerciale;1;1;2,5;2,5;15;;;1;1;1;2;9;10800;8;;;1;5;1;;1;1;20;1;;2;2;-;-;;;;3;0,7;527;0;0
117;A64598;No;Borgomanero;2;LASTRE;magazzino;1;1;2,5;2,5;15;;;1;1;1;2;9;10800;8;;;1;5;1;;1;1;5;1;;2;2;-;-;;;;3;0,7;417;0;0
117;A64599;No;Borgomanero;2;LASTRE;magazzino;1;1;2,5;2,5;15;;;1;1;1;2;9;10800;8;;;1;5;1;;1;1;5;1;;2;2;-;-;;;;3;0,7;417;0;0
117;A64600;No;Borgomanero;2;lastre;edificio industriale;1;1;2,5;2,5;15;;;1;1;1;2;9;7600;8;;;1;5;1;;1;1;20;1;;2;2;-;-;;;;3;0,7;527;0;0
117;A64918;No;Cavallirio;2;LASTRE;edifici industriali;1;1;1;2,5;10;;;1;1;1;2;9;18400;5;;;1;5;1;;1;1;20;3;0.5;2;2;-;-;;;;4;0,4;203;0;0
117;A65586;No;Briga Novarese;2;LASTRE;edifici residenziali;1;1;2,5;2,5;10;;;1;1;1;2;9;5700;5;;;1;5;1;;1;1;20;1;;2;2;-;-;;;;3;0,7;453;0;0
117;A65704;No;Briga Novarese;2;lastre ondulate;edifici industriali;1;1;2,5;2,5;10;;;1;1;1;2;9;9000;8;;;1;5;1;;1;1;20;1;;2;2;-;-;;;;3;0,7;475;0;0
117;A65727;No;Briga Novarese;2;LASTRE;edifici industriali;1;1;2,5;2,5;15;;;1;1;1;2;9;10500;8;;;1;5;1;;1;1;10;1;;2;2;-;-;;;;3;0,7;454;0;0
117;A65728;No;Briga Novarese;2;LASTRE;edifici industriali;1;1;2,5;2,5;15;;;1;1;1;2;9;61000;8;;;1;5;1;;1;1;10;1;;2;2;-;-;;;;3;0,7;454;0;0
117;A65729;No;Briga Novarese;2;LASTRE;edifici industriali;1;1;2,5;2,5;15;;;1;1;1;2;9;10500;8;;;1;5;1;;1;1;10;1;;2;2;-;-;;;;3;0,7;454;0;0
