Id_Regione;Id_Unità;Provincia;Comune;Categoria;Tipologia;Descrizione materiali;A - Friabilità;B - Uso pubblico;C - Accessibilità;D - Presenza di confinamento;I1 - Quantità di materiale stimato;Peso stimato friabile (kg);Peso stimato compatto (kg);I2 - Presenza di un programma di manutenzione e controllo;I3 - Attività;I4 - Presenza di cause che creano o favoriscono la dispersione di fibre;I5 - Concentrazione di fibre aerodisperse (ff/l);I6 - Area di estensione del sito (m2);Effettiva area perimetrale (m2);I7 - Superficie esposta allaria;Effettiva superficie con amianto friabile (m2);Effettiva superficie con amianto compatto (m2);I8 - Coinvolgimento del sito in lavori di urbanizzazione;I9 - Stato di conservazione delle strutture;I10 - Tempo trascorso dalla dismissione (anni);Data dismissione (gg-mm-aaaa);I11 - Tipologia di amianto presente;I12 - Dati epidemiologici;I13 - Frequenza di utilizzo;I14 - Distanza dal centro urbano(m);Distanza dal centro urbano (km);I15 - Densità di popolazione;I16 - Età media dei soggetti frequentatori (anni);Tipo di bonifica;Tipo di intervento;Costi totali stimati dell’intervento (€);Fondi locali/regionali assegnati;Fondi da richiedere;Classe di priorità;Coefficiente di priorità;Punteggio mappatura;Coordinate X (WGS84-UTM fuso 32);Coordinate Y (WGS84-UTM fuso 32)
113;25;BZ;BRAIES;2;Edifici residenziali;copertura;1;1;1;2,5;5;;255;1;1;1;2;3;;5;0;15;1;5;1;;1;1;10;3;0,41;2;2;;;;0;;4;0,4;133,2;738685;5178410
113;30;BZ;ORA;1;Edifici artigianali e di servizi;copertura;1;1;1;2,5;15;;14620;1;1;1;2;5;;8;0;860;1;5;1;;1;1;10;1;0;2;2;;;;0;;4;0,4;179,4;678180;5138358
113;31;BZ;ORA;2;Edifici residenziali;copertura;1;1;1;1;10;;9520;1;1;1;2;5;;8;0;560;1;30;1;;1;1;10;1;1,85;2;2;C;C;8397;0;8397;5;0,3;128,7;678187;5138321
113;32;BZ;ORA;1;Edifici artigianali e di servizi;copertura;1;1;1;1;10;;5100;1;1;1;2;5;;5;0;300;1;30;1;;1;1;10;1;0;2;2;C;C;4498;0;4498;5;0,3;123,3;678200;5138306
113;33;BZ;ORA;2;Edifici residenziali;copertura;1;1;1;1;15;;20400;1;1;1;2;5;;8;0;1200;1;30;1;;1;1;10;3;0,2;2;2;C;C;17993;0;17993;5;0,3;144,9;676734;5136410
113;34;BZ;ORA;2;Edifici residenziali;copertura;1;1;1;1;15;;14110;1;1;1;2;5;;8;0;830;1;30;1;;1;1;10;3;0,16;2;2;C;C;12445;0;12445;5;0,3;144,9;677312;5135909
113;35;BZ;ORA;1;Edifici artigianali e di servizi;copertura;1;1;1;2,5;10;;6800;1;1;1;2;5;;5;0;400;1;30;1;;1;1;10;1;0;2;2;;;;0;;4;0,4;205,8;676963;5137377
113;36;BZ;BRONZOLO;1;Edifici artigianali e di servizi;copertura;1;1;1;2,5;10;;850;1;1;1;2;3;;5;0;50;1;5;1;;1;1;10;1;1,79;2;2;;;;0;;4;0,4;137,4;677754;5138807
113;37;BZ;BRONZOLO;1;Edifici artigianali e di servizi;copertura;1;1;1;2,5;10;;1360;1;1;1;2;3;;5;0;80;1;5;1;;1;1;10;1;1,61;2;2;;;;0;;4;0,4;137,4;677577;5138886
113;38;BZ;ORA;2;Edifici artigianali e di servizi;copertura;1;1;1;2,5;10;;850;1;1;1;2;3;;5;0;50;1;5;1;;1;1;10;5;0;4;2;;;;0;;4;0,4;213;676761;5136132
