"ID";"CODICE";"DENOMIAZIONE";"CAP";"CITTA'";"PROV";"GIS x";"GIS y";"GIS Z";"PUNTEGGIO SITO Hp1";"PUNTEGGIO SITO Hp2";"CLASSE DI PRIORITA'";"TIPOLOGIA DI MCA";"PRESENZA DI CONFINAMENTO";"ACCESSIBILITA'";"TIPOLOGIA DI ATTIVITA'";"i1";"i2";"i3";"i4";"i5";"i6";"i7";"i8";"i9";"i10";"i11";"i12";"i13";"i14";"i15";"i16"
204;"IST00010001";"ISTITUTO NAZIONALE PER LA RICERCA SUL CANCRO";16132;"GENOVA";"GE";1497748;4917583;;;1118;2;2;2;1;1;5;1;1;1;5;5;5;1;5;;1;;20;3;4;
205;"EVANG010002";"OSPEDALE EVANGELICO INTERNAZIONALE";;"BORGIO VEREZZI";"SV";444912,76;4889883,03;;;176;5;2;1;2;1;10;1;1;5;;5;5;1;5;;;1;20;5;4;
206;"AEMOT010001";"MINISTERO TRASPORTI SIT 2  UFF MOTORIZZAZ CIVILE";16132;"GENOVA";"GE";492468,22;4917624,94;;;265;5;2;1;1;1;5;10;1;5;2;5;5;1;5;;;;20;5;4;
207;"CO010008001";"COMUNE DI CAMPO LIGURE";16013;"GENOVA";"GE";1476150;4931050;;;171;4;2;2;2;2;10;10;1;5;;5;8;1;;;;;5;3;2;
208;"CO010009001";"COMUNE DI CAMPOMORONE";16014;"GENOVA";"GE";1491170;4929670;;;133;5;2;1;2;1;5;1;1;1;;3;5;1;5;;;;20;3;4;
209;"CO010009002";"COMUNE DI CAMPOMORONE";16014;"GENOVA";"GE";1490700;4931700;;;178;4;2;2;2;1;5;1;1;1;;3;5;3;5;;;;10;5;4;
210;"CO010009003";"COMUNE DI CAMPOMORONE";16014;"GENOVA";"GE";1491220;4928200;;;216;4;2;2;2;1;5;1;1;1;;5;5;1;5;;;;20;5;4;
211;"CO010009004";"COMUNE DI CAMPOMORONE";16014;"GENOVA";"GE";1491110;4928340;;;216;4;2;2;2;1;5;1;1;1;;5;5;1;5;;;;20;5;4;
212;"CO010009005";"COMUNE DI CAMPOMORONE";16014;"GENOVA";"GE";1490400;4928300;;;460;3;2;2;1;2;5;1;1;1;;3;5;1;5;;;;20;5;4;
213;"CO010009006";"COMUNE DI CAMPOMORONE";16014;"GENOVA";"GE";1491480;4928200;;;208;4;2;2;2;1;5;1;1;1;;3;5;1;5;;;;20;5;4;
214;"CO010012001";"COMUNE DI CASELLA";16019;"CASELLA";"GE";500303,69;4931042,42;;;421;3;2;2;1;2;15;1;1;1;;5;8;1;5;;;;20;;4;
215;"CO010012010";"COMUNE DI CASELLA";16019;"CASELLA";"GE";498904,09;4931752,46;;;399;3;2;2;1;2;15;1;1;1;;3;5;1;5;;;;20;3;2;
216;"CO010012002";"COMUNE DI CASELLA";16019;"CASELLA";"GE";499925,38;4931295,85;;;208;4;2;2;2;1;5;1;1;1;;3;5;1;5;;;;20;5;4;
217;"CO010012003";"COMUNE DI CASELLA";16019;"CASELLA";"GE";500255,04;4931201,74;;;496;3;2;2;1;2;10;1;1;1;;5;5;1;5;;;;20;5;4;
218;"CO010012004";"COMUNE DI CASELLA";16019;"CASELLA";"GE";500922,02;4931013,04;;;665;3;2;2;1;2;10;1;1;1;;3;5;1;30;;;;20;5;4;
219;"CO010012005";"COMUNE DI CASELLA";16019;"CASELLA";"GE";499572,67;4930717,22;;;363;3;2;2;1;2;10;1;1;1;;5;5;1;5;;;;20;1;2;
220;"CO010012006";"COMUNE DI CASELLA";16019;"CASELLA";"GE";500238,22;4931207,82;;;568;3;2;2;1;2;15;1;1;1;;9;8;1;5;;;;20;5;4;
221;"CO010012007";"COMUNE DI CASELLA";16019;"CASELLA";"GE";499454,5;4930729,08;;;547;3;2;2;1;2;10;1;1;1;;5;5;1;30;;;;20;1;2;
222;"CO010012008";"COMUNE DI CASELLA";16019;"CASELLA";"GE";500247,81;4931068,23;;;503;3;2;2;1;2;10;1;1;1;;3;8;1;5;;;;20;5;4;
223;"CO010012009";"COMUNE DI CASELLA";16019;"CASELLA";"GE";499703,91;4930665,09;;;406;3;2;2;1;2;15;1;1;1;;5;8;1;5;;;;20;1;2;
224;"CO010015001";"COMUNE DI CHIAVARI";16043;"CHIAVARI";"GE";525831,11;4907079,01;;;216;4;1;2;2;2;5;1;1;5;;3;5;1;5;;;;20;5;4;
225;"CO010015002";"COMUNE DI CHIAVARI";16043;"CHIAVARI";"GE";526864,72;4907031,23;;;233;4;2;2;2;1;10;1;1;1;;3;8;1;5;;;;20;5;4;
226;"CO010015003";"COMUNE DI CHIAVARI";16043;"CHIAVARI";"GE";527595,59;4909091,44;;;230;4;2;2;2;1;10;1;1;1;;3;5;1;5;;;;20;5;2;10
227;"CO010015006";"COMUNE DI CHIAVARI";16043;"CHIAVARI";"GE";526076,86;4907040,55;;;236;4;2;2;2;1;5;1;1;1;;3;5;1;5;;;;20;5;4;10
228;"CO010015007";"COMUNE DI CHIAVARI";16043;"CHIAVARI";"GE";526065,37;4906998,55;;;216;4;2;2;2;1;5;1;1;1;;5;5;1;5;;;;20;5;4;
229;"CO010015008";"COMUNE DI CHIAVARI";16043;"CHIAVARI";"GE";525237,84;4908834,66;;;226;4;2;2;2;1;15;1;1;1;;5;8;1;5;;;;20;3;2;
230;"CO010015009";"COMUNE DI CHIAVARI";16043;"CHIAVARI";"GE";526968,56;4907928,02;;;236;4;2;2;2;1;5;1;1;1;;3;5;1;5;;;;20;5;4;10
231;"CO010015010";"COMUNE DI CHIAVARI";16043;"CHIAVARI";"GE";525610,17;4907761,14;;;116;5;2;1;2;2;5;1;1;1;;3;5;1;5;;;;20;5;4;
232;"CO010015014";"COMUNE DI CHIAVARI";16043;"CHIAVARI";"GE";526724,25;4907390,5;;;382;3;2;2;1;2;10;1;1;1;;3;5;1;5;;3;;20;3;2;
233;"CO010018001";"COMUNE DI COGORNO";16030;"COGORNO";"GE";528193,19;4908605,05;;;732;2;2;2;1;1;10;1;1;1;;3;5;1;5;;;;20;5;4;10
234;"CO010035001";"COMUNE DI MIGNANEGO";16018;"MIGNANEGO";"GE";493250,29;4930476,66;;;184;5;2;1;2;1;5;10;1;5;;3;5;3;;;;1;20;5;4;
235;"CO010035002";"COMUNE DI MIGNANEGO";16018;"MIGNANEGO";"GE";492461,25;4930983,52;;;140;5;2;1;2;1;5;10;1;5;;3;5;1;5;;;1;20;5;4;2
236;"CO010035003";"COMUNE DI MIGNANEGO";16018;"MIGNANEGO";"GE";493314,7;4930703,07;;;220;5;2;1;2;1;15;10;1;1;;;;1;5;;;1;20;5;4;10
237;"CO010035004";"COMUNE DI MIGNANEGO";16018;"MIGNANEGO";"GE";495080,45;4931940,77;;;131;5;2;1;2;1;5;10;1;1;;3;5;1;5;;;1;5;5;4;2
239;"CO010035005";"COMUNE DI MIGNANEGO";16018;"MIGNANEGO";"GE";494636,26;4931897,35;;;375;4;2;2;2;1;5;10;3;5;;3;5;;;3;;1;;5;4;
240;"CO010045001";"COMUNE DI PROPATA";16027;"PROPATA";"GE";514798,74;4934362,12;;;606;2;2;2;1;1;5;10;1;1;;5;5;1;5;;;1;20;3;2;
241;"CO010054001";"COMUNE DI SANTA MARGHERITA LIGURE";16038;"SANTA MARGHERITA LIGURE";"GE";1516235;4908626;;;924;2;2;2;1;1;10;10;1;1;;5;5;3;30;;;;20;3;2;
242;"CO010054002";"COMUNE DI SANTA MARGHERITA LIGURE";16038;"SANTA MARGHERITA LIGURE";"GE";1516762;4908379;;;1098;2;2;2;1;1;10;10;1;5;;5;8;1;30;;;;20;5;4;
243;"CO010059012";"COMUNE DI SESTRI LEVANTE";16039;"SESTRI LEVANTE";"GE";1531380;4901910;;;148;5;2;1;2;1;5;1;1;1;;3;5;1;5;;;;20;5;4;
244;"CO010059002";"COMUNE DI SESTRI LEVANTE";16039;"SESTRI LEVANTE";"GE";1532690;4902350;;;186;4;2;2;2;1;5;1;1;5;;3;5;1;5;;;;10;5;4;
245;"CO010059006";"COMUNE DI SESTRI LEVANTE";16039;"SESTRI LEVANTE";"GE";1534560;4904600;;;610;2;2;2;1;1;5;1;1;1;;3;5;1;5;;;;20;5;4;
