ID;Id_Regione;ID_Unità;Provincia;Comune;Categoria;Descrizione materiali;A - Friabilità;B - Uso pubblico;C - Accessibilità;D - Presenza di confinamento;I1 - Quantità di materiale stimato (Kg);Peso stimato friabile (kg);Peso stimato compatto (kg);I2 - Presenza di un programma di manutenzione e controllo;I3 - Attività;I4 - Dispersione di fibre;I5 - Concentrazione di fibre aerodisperse (ff/l);I6 - Area di estensione del sito (m2);Effettiva area perimetrale (m2);I7 - Superficie esposta all’aria (m2);Effettiva superficie con amianto friabile  (m2);Effettiva superficie con amianto compatto (m2);I8 - Coinvolgimento del sito in lavori di urbanizzazione;I9 - Stato di conservazione delle strutture edili;I10 - Tempo trascorso dalla dismissione (anni);Data dismissione (gg-mm-aaaa);I11 - Tipologia di amianto presente;I12 - Dati epidemiologici;I13 - Frequenza di utilizzo;I14 - Distanza dal centro urbano (m);Distanza dal centro urbano (km);I15 - Densità di popolazione;I16 - Età media dei soggetti frequentatori (anni);Tipo di bonifica;Tipo di intervento;Costi Totali stimati dell intervento (€);Fondi locali/regionali assegnati;Fondi da richiedere;Classe di priorità;Coefficiente di priorità;Punteggio Mappatura;Coordinate X (WGS84-UTM fuso 32);Coordinate Y (WGS84-UTM fuso 32)
62;22;Tos3734;LU;LUCCA;11;;1;2,5;2,5;2,5;10;;;10;1;1;2;3;335;5;;;1;5;1;;1;1;5;5;;4;2;;;;;;2;0,8;708;620882,026696;4854560,02498
65;22;Tos278;PI;PALAIA;4;;1;2,5;2,5;2,5;5;;;10;1;1;2;3;10;5;;;1;5;1;;1;1;10;5;;4;2;;;;;;2;0,8;708;637845,126907;4829369,07589
210;22;Tos284;FI;MARRADI;4;;1;2,5;2,5;2,5;5;;;10;1;1;2;3;145;5;;;1;5;1;;1;1;10;5;;4;2;;;;;;2;0,8;708;708926,896906;4883259,85857
47;22;Tos436;PI;PISA;3;;1;2,5;2,5;2,5;10;;;1;1;1;2;3;600;5;;;1;5;1;;1;1;20;5;;2;2;;;;;;2;0,8;692;613576,66232;4841605,24955
48;22;Tos438;PI;PISA;3;;1;2,5;2,5;2,5;10;;;1;1;1;2;3;600;5;;;1;5;1;;1;1;20;5;;2;2;;;;;;2;0,8;692;613576,66232;4841605,24955
49;22;Tos992;GR;FOLLONICA;4;;1;2,5;2,5;2,5;10;;;1;1;1;2;3;0;5;;;1;5;1;;1;1;20;5;;2;2;;;;;;2;0,8;692;644533,750798;4754611,16416
323;22;Tos339;GR;FOLLONICA;8;;1;1;2,5;2,5;5;;;1;3;1;2;3;41;5;;;3;5;7;;1;1;5;5;;4;2;;;;;;3;0,7;679;643695,569307;4753448,25753
208;22;Tos10060;PO;PRATO;14;;1;2,5;2,5;2,5;5;;;1;3;1;2;3;;5;;;1;5;7;;1;1;5;1;;2;2;;;;;;2;0,8;678;667112,531173;4859695,86664
27;22;Tos10084;LU;PORCARI;14;;1;2,5;2,5;2,5;15;;;1;1;1;2;3;;5;;;1;5;1;;1;1;20;1;;2;2;;;;;;2;0,8;656;628518,659769;4854961,90987
28;22;Tos10085;LU;PORCARI;14;;1;2,5;2,5;2,5;15;;;1;1;1;2;3;;5;;;1;5;1;;1;1;20;1;;2;2;;;;;;2;0,8;656;628518,659769;4854961,90987
29;22;Tos10086;LU;PORCARI;14;;1;2,5;2,5;2,5;15;;;1;1;1;2;3;;5;;;1;5;1;;1;1;20;1;;2;2;;;;;;2;0,8;656;628518,659769;4854961,90987
30;22;Tos10087;LU;PORCARI;14;;1;2,5;2,5;2,5;15;;;1;1;1;2;3;;5;;;1;5;1;;1;1;20;1;;2;2;;;;;;2;0,8;656;628518,659769;4854961,90987
31;22;Tos1509;GR;GROSSETO;14;;1;2,5;2,5;2,5;15;;;1;1;1;2;3;3760;5;;;1;5;1;;1;1;20;1;;2;2;;;;;;2;0,8;656;671349,98926;4739852,01384
44;22;Tos2133;LU;CAPANNORI;1;;1;2,5;2,5;2,5;10;;;10;1;1;2;3;198;5;;;3;5;1;;1;1;10;5;;2;2;;;;;;2;0,8;653;622132,976995;4852722,40977
363;22;Tos10358;LI;PIOMBINO;14;;1;1;2,5;2,5;15;;;1;1;1;2;3;;5;;;1;5;1;;1;1;20;5;;4;10;;;;;;3;0,7;652;624859,730414;4754176,6191
60;22;Tos1098;PI;BIENTINA;11;;1;2,5;2,5;2,5;5;;;10;1;1;2;3;800;5;;;1;5;1;;1;1;5;5;;4;2;;;;;;2;0,8;648;630464,620189;4840893,27672
61;22;Tos16;PI;CASTELNUOVO DI VAL DI CECINA;11;;1;2,5;2,5;2,5;5;;;10;1;1;2;3;600;5;;;1;5;1;;1;1;5;5;;4;2;;;;;;2;0,8;648;654837,999513;4785644,78627
99;22;Tos3277;PT;MONSUMMANO TERME;20;;1;2,5;2,5;2,5;5;;;10;1;1;2;3;0;5;;;1;5;1;;1;1;5;5;;4;2;;;;;;2;0,8;648;646651,887551;4855884,17088
213;22;Tos1310;PT;PESCIA;8;;1;2,5;2,5;2,5;5;;;10;1;1;2;3;0;5;;;1;5;1;;1;1;5;5;;4;2;;;;;;2;0,8;648;635542,258166;4862041,19533
39;22;Tos10029;MS;FIVIZZANO;14;;1;2,5;2,5;2,5;10;;;1;1;1;2;3;;5;;;1;5;1;;1;1;20;3;;2;2;;;;;;2;0,8;644;589159,494192;4892311,40181
