"Id_Regione";"Id_Unita";"Provincia";"Comune";"Id_categor";"Materiale";"A";"B";"C";"D";"Peso stima";"Peso_S1";"I1";"I2";"I3";"I4";"I5";"I6";"Superficie";"I7";"Effettiva";"Effettiv_1";"I8";"I9";"I10";"Data dismi";"I11";"I12";"I13";"I14";"Distanza c";"I15";"I16";"Punteggio";"Classe di";"Superfic_1";"Tipo di bo";"Tipo d'int";"Classed_1";"Costo_dell";"Fondi Loca";"Fondi da r";"Numero_pia";"Numero_van";"X";"Y"
"6";"AQ0060007";"L'AQUILA";"AVEZZANO";"8";;1,0;2,0;2,5;2,5;;224,0;5,0;10;1,0;5;0;5;632,0;5;;"11.2";;5;"1";;"3";0,0;"20";5,0;"0";4;10;10008,0;2;;"Sito non bonificato";;;1336,6;;;;;866764,3;4662951,1
"6";"AQ0060008";"L'AQUILA";"AVEZZANO";"8";;1,0;2,0;2,5;2,5;;128,0;5,0;10;1,0;5;0;5;822,0;5;;"6.4";;30;"1";;"3";0,0;"20";5,0;"0";4;10;13008,0;2;;"Sito non bonificato";;;1000,2;;;;;869220,3;4665358,5
"6";"AQ0060009";"L'AQUILA";"AVEZZANO";"1";;1,0;2,0;2,5;2,5;;326,0;5,0;10;1,0;5;0;5;900,0;5;;"16.3";;30;"1";;"3";0,0;"20";5,0;"0";4;2;12048,0;2;;"Sito non bonificato";;;1814,5;;;;;867710,6;4658283,3
"6";"AQ0060010";"L'AQUILA";"AVEZZANO";"7";;1,0;2,0;2,5;2,5;;16284,0;15,0;10;1,0;5;0;3;479,0;8;;"1628.4";;30;"1";;"1";0,0;"20";5,0;"0";4;2;13320,0;2;;"Sito non bonificato";;;49172,8;;;;;865739,9;4663642,0
"6";"AQ0060011";"L'AQUILA";"AVEZZANO";"15";;1,0;1,0;2,5;2,5;;240,0;5,0;10;1,0;1;0;3;386,0;5;;"12";1;5;"1";;"3";0,0;"20";5,0;"0";4;10;6237,0;3;;"Sito non bonificato";;;1819,0;;;;;864612,3;4666658,7
"6";"AQ0060012";"L'AQUILA";"AVEZZANO";"7";;1,0;2,0;2,5;2,5;;120,0;5,0;10;1,0;1;0;3;104,0;5;;"6";;5;"1";;"3";0,0;"20";5,0;"0";4;2;8400,0;2;;"Sito non bonificato";;;1227,0;;;;;868253,6;4669053,1
"6";"AQ0060013";"L'AQUILA";"AVEZZANO";"11";;1,0;2,0;2,5;2,5;;6784,0;10,0;10;1,0;5;0;3;416,0;5;;"339.2";;30;"1";;"3";0,0;"20";5,0;"0";4;2;12480,0;2;;"Sito non bonificato";;;7880,6;;;;;866357,5;4663411,4
"6";"AQ0060014";"L'AQUILA";"AVEZZANO";"11";;2,5;2,0;2,5;2,5;30000;;15,0;10;1,0;5;0;5;1950,0;8;"1500";;1;30;"1";;"1";0,0;"20";5,0;"0";4;2;20844,0;1;;"Sito non bonificato";;;64135,0;;;;;865839,4;4663854,8
"6";"AQ0060015";"L'AQUILA";"AVEZZANO";"11";;1,0;2,0;2,5;2,5;;1320,0;10,0;10;1,0;5;0;5;3120,0;5;;"66";;30;"1";;"3";0,0;"20";5,0;"0";4;2;12648,0;2;;"Sito non bonificato";;;3025,0;;;;;866570,5;4663236,6
"6";"AQ0060016";"L'AQUILA";"AVEZZANO";"8";;1,0;2,0;2,5;2,5;;700,0;10,0;10;1,0;5;0;5;913,0;5;;"70";;30;"1";;"1";0,0;"20";5,0;"0";4;10;13488,0;2;;"Sito non bonificato";;;3200,0;;;;;866340,9;4664103,9
"6";"AQ0060017";"L'AQUILA";"AVEZZANO";"11";;1,0;2,0;2,5;2,5;;1005,0;10,0;10;1,0;5;0;5;546,0;5;;"60.5";;30;"1";;"3";0,0;"20";5,0;"0";4;2;12648,0;2;;"Sito non bonificato";;;2459,8;;;;;866330,7;4663064,2
"6";"AQ0060018";"L'AQUILA";"AVEZZANO";"15";;1,0;1,0;2,5;2,5;;120,0;5,0;10;1,0;1;0;5;1183,0;5;;"6";;5;"1";;"3";0,0;"20";5,0;"0";4;2;5796,0;3;;"Sito non bonificato";;;1227,0;;;;;865839,9;4661990,7
"6";"AQ0060019";"L'AQUILA";"AVEZZANO";"11";;1,0;2,0;2,5;2,5;;256,0;5,0;10;1,0;5;0;3;494,0;5;;"12.8";;30;"1";;"3";0,0;"20";5,0;"0";4;2;11880,0;2;;"Sito non bonificato";;;1365,4;;;;;866436,4;4662459,2
"6";"AQ0060020";"L'AQUILA";"AVEZZANO";"11";;1,0;2,0;2,5;2,5;;96,0;5,0;10;1,0;5;0;3;416,0;5;;"4.8";;30;"1";;"3";0,0;"20";5,0;"0";4;2;11880,0;2;;"Sito non bonificato";;;971,4;;;;;866932,4;4663330,3
"6";"AQ0060021";"L'AQUILA";"AVEZZANO";"11";;1,0;2,0;2,5;2,5;;256,0;5,0;10;1,0;5;0;5;1014,0;5;;"12.8";;5;"1";;"3";0,0;"20";5,0;"0";4;2;9048,0;2;;"Sito non bonificato";;;1365,4;;;;;866530,7;4662717,8
"6";"AQ0060022";"L'AQUILA";"AVEZZANO";"8";;1,0;2,0;2,5;2,5;;1200,0;10,0;10;1,0;1;0;5;3200,0;5;;"60";;30;"1";;"3";0,0;"20";5,0;"0";4;10;13128,0;2;;"Sito non bonificato";;;4555,0;;;;;866772,9;4663699,6
