"Id_Regione";"Id_Unita";"Provincia";"Comune";"Id_categor";"Materiale";"A";"B";"C";"D";"Peso stima";"Peso_S1";"I1";"I2";"I3";"I4";"I5";"I6";"Superficie";"I7";"Effettiva";"Effettiv_1";"I8";"I9";"I10";"Data dismi";"I11";"I12";"I13";"I14";"Distanza c";"I15";"I16";"Punteggio";"Classe di";"Superfic_1";"Tipo di bo";"Tipo d'int";"Classed_1";"Costo_dell";"Fondi Loca";"Fondi da r";"Numero_pia";"Numero_van";"X";"Y"
"2";"Friuli153";"UD";"RIVE D'ARCANO";"14";;1,0;1,0;2,5;2,5;;2925,0;10,0;1;1,0;1;2;3;;5;;;1;5;"1";;"1";1,0;"20";5,0;;4;2;540,8;3;;;;;;;;;;810343,6;5114560,3
"2";"Friuli1567";"PN";"SAN MARTINO AL TAGLIAMENTO";"14";;1,0;1,0;2,5;2,5;;1500,0;10,0;1;1,0;1;2;3;;5;;;1;5;"1";;"1";1,0;"20";5,0;;4;2;540,8;3;;;;;;;;;;799510,4;5102869,8
"2";"Friuli1575";"UD";"BERTIOLO";"14";;1,0;1,0;2,5;2,5;;28500,0;15,0;1;1,0;1;2;5;;8;;;1;5;"1";;"1";1,0;"20";3,0;;4;2;571,2;3;;;;;;;;;;814139,4;5096748,6
"2";"Friuli159";"UD";"UDINE";"14";;1,0;1,0;2,5;1,0;;3000,0;10,0;1;1,0;1;2;3;;5;;;1;5;"1";;"1";1,0;"20";5,0;;4;2;179,1;5;;;;;;;;;;830342,4;5113205,0
"2";"Friuli1630";"UD";"TRASAGHIS";"14";;1,0;1,0;2,5;1,0;;8250,0;10,0;1;1,0;1;2;5;;8;;;1;5;"1";;"1";1,0;"20";5,0;;4;2;188,1;5;;;;;;;;;;814350,3;5133273,0
"2";"Friuli1637";"UD";"TARCENTO";"13";;2,5;1,0;2,5;1,0;50;;5,0;10;1,0;1;2;3;;10;;;1;5;"1";;"1";1,0;"10";5,0;;4;2;487,2;2;;;;;;;;;;825507,0;5126483,5
"2";"Friuli1653";"UD";"CODROIPO";"14";;1,0;1,0;2,5;2,5;;1500,0;10,0;1;1,0;1;2;3;;5;;;1;5;"1";;"1";1,0;"20";3,0;;4;2;482,0;3;;;;;;;;;;806192,5;5097699,7
"2";"Friuli1656";"PN";"FIUME VENETO";"14";;1,0;1,0;2,5;2,5;;10500,0;15,0;1;1,0;1;2;5;;8;;;1;5;"1";;"1";1,0;"20";5,0;;4;2;630,0;3;;;;;;;;;;789769,5;5092877,2
"2";"Friuli1682";"UD";"UDINE";"14";;1,0;1,0;2,5;2,5;;1500,0;10,0;1;1,0;1;2;3;;5;;;1;5;"1";;"1";1,0;"20";5,0;;4;2;540,8;3;;;;;;;;;;829769,0;5108599,7
"2";"Friuli1717";"UD";"MANZANO";"14";;1,0;1,0;2,5;2,5;;28500,0;15,0;1;1,0;1;2;5;;8;;;1;5;"1";;"1";1,0;"20";3,0;;4;2;571,2;3;;;;;;;;;;837511,3;5101041,2
"2";"Friuli1752";"UD";"TARCENTO";"13";;2,5;1,0;2,5;2,5;0;;5,0;1;1,0;0;2;3;;5;;;1;30;"1";;"1";1,0;"20";5,0;;4;2;290,3;5;;;;;;;;;;825559,0;5126525,6
"2";"Friuli1758";"UD";"FIUMICELLO";"14";;1,0;1,0;2,5;2,5;;4650,0;10,0;1;1,0;1;2;3;;5;;;1;5;"1";;"1";1,0;"20";5,0;;4;2;540,8;3;;;;;;;;;;842311,3;5080851,9
"2";"Friuli1770";"PN";"SPILIMBERGO";"14";;1,0;1,0;2,5;2,5;;6000,0;10,0;1;1,0;1;2;3;;5;;;1;5;"1";;"1";1,0;"20";5,0;;4;2;540,8;3;;;;;;;;;;798979,4;5113399,5
"2";"Friuli1779";"UD";"SAN DANIELE DEL FRIULI";"14";;1,0;1,0;2,5;2,5;;1500,0;10,0;1;1,0;1;2;3;;5;;;1;5;"1";;"1";1,0;"20";1,0;;2;2;408,5;3;;;;;;;;;;810160,4;5123118,4
"2";"Friuli1849";"PN";"AVIANO";"14";;1,0;1,0;2,5;2,5;;36900,0;15,0;1;1,0;1;2;5;;8;;;1;5;"1";;"1";1,0;"20";5,0;;4;2;630,0;3;;;;;;;;;;777822,0;5108277,6
"2";"Friuli185";"PN";"SACILE";"13";;2,5;1,0;2,5;1,0;0;;5,0;10;1,0;1;2;3;;5;;;1;30;"1";;"1";1,0;"20";5,0;;4;2;378,6;4;;;;;;;;;;771127,8;5094885,5
"2";"Friuli1865";"UD";"MANZANO";"14";;1,0;1,0;2,5;2,5;;2025,0;10,0;1;1,0;1;2;3;;5;;;1;5;"1";;"1";1,0;"20";1,0;;2;2;408,5;3;;;;;;;;;;842273,2;5104583,6
"2";"Friuli1879";"UD";"UDINE";"13";;2,5;1,0;2,5;1,0;50;;5,0;10;1,0;1;2;3;;10;;;1;5;"1";;"1";1,0;"10";5,0;;4;2;487,2;2;;;;;;;;;;828487,8;5109492,8
"2";"Friuli188";"UD";"CIVIDALE DEL FRIULI";"12";;1,0;1,0;2,5;2,5;;6615,0;10,0;1;1,0;1;2;3;;5;;;1;5;"1";;"1";1,0;"20";3,0;;4;2;482,0;3;;;;;;;;;;844572,4;5107709,3
"2";"Friuli1921";"PN";"CASARSA DELLA DELIZIA";"13";;2,5;1,0;2,5;2,5;50;;5,0;1;1,0;0;2;3;;5;;;1;5;"1";;"1";1,0;"20";5,0;;4;2;211,5;5;;;;;;;;;;797507,7;5096656,0
