provincia,comune,Ragione sociale,indirizzo,civico,destinazione,sup_coperta
provincia,comune,Ragione sociale,indirizzo,civico,destinazione,sup_coperta
PI,CASTELNUOVO DI VAL DI CECINA,ENEL - Unità territoriale di Larderello,v93,"",IMPIANTO GEOTERMIA,""
PI,CASTELNUOVO DI VAL DI CECINA,Enel - Unità territoriale di Lago,Selva 3 - Nodo 46,"",IMPIANTO GEOTERMIA,""
PI,CASTELNUOVO DI VAL DI CECINA,ENEL - Unità territoriale di Larderello,SV5,"",IMPIANTO GEOTERMIA,""
PI,CASTELNUOVO DI VAL DI CECINA,ENEL - Unità territoriale di Larderello,v16,"",IMPIANTO GEOTERMIA,""
PI,CASTELNUOVO DI VAL DI CECINA,ENEL - Unità territoriale di Larderello,Camorsi 1a,"",IMPIANTO GEOTERMIA,""
PI,CASTELNUOVO DI VAL DI CECINA,ENEL - Unità territoriale di Larderello,v38,"",IMPIANTO GEOTERMIA,""
PI,CASTELNUOVO DI VAL DI CECINA,ENEL - Unità territoriale di Larderello,immis. Camorsi-c.le1,"",IMPIANTO GEOTERMIA,""
PI,CASTELNUOVO DI VAL DI CECINA,ENEL - Unità territoriale di Larderello,v cappellini,"",IMPIANTO GEOTERMIA,""
PI,CRESPINA,TOSCANA ENERGIA SPA (ex TOSCANA GAS SPA),LAVORIA FRAZ. LAVORIA,"",impianto di riduzione gas metano,75
PI,CRESPINA,STAZIONE CARABINIERI,PIAZZA DON MINZONI,8,caserma,320
PI,LARI,SCUOLA ELEMENTARE,VIA GRAMSCI,"",Esercizio commerciale,400
PI,LARI,SCUOLA ELEMENTARE,VIA DEI CILIEGI,12,Magazzino,400
PI,LARI,SCUOLA ELEMENTARE,VIA GRAMSCI,"",Ufficio aperto al pubblico,90
PI,MONTECATINI VAL DI CECINA,COMUNE DI MONTECATINI VAL DI CECINA,VIA ROMA,"",copertura scuola materna,340
PI,MONTESCUDAIO,r.m. di giacomo massini,LOC. POGGIO GAGLIARDO,"",SITO DISMESSO,""
PI,MONTOPOLI IN VAL D'ARNO,TOSCANA ENERGIA SPA (ex TOSCANA GAS SPA),VAGHERA,"",impianto di riduzione gas metano,45
PI,PALAIA,UNIONE SPORTIVA FORCOLI CALCIO 1921,VIA DEL BOSCO,5,Impianto sportivo,10
PI,PALAIA,PARROCCHIA DI PALAIA,VIA XX SETTEMBRE,22,Cinema/teatro/spettacoli,25
PI,PALAIA,COMUNE DI PALAIA,SAN FRANCESCO,1,Scuola,1250
PI,PALAIA,SCUOLA MEDIA FRA' DOMENICO DA PECCIOLI,PIANA,1,Scuola,400
PI,PALAIA,COMUNE DI PALAIA,PIANA - MONTEFOSCOLI,1,Scuola,400
PI,PALAIA,COMUNE DI PALAIA,SAN FRANCESCO,1,Palestra Comunale,285
PI,PALAIA,COMUNE DI PALAIA,SAN FRANCESCO,1,Scuola,745
PI,PALAIA,COMUNE DI PALAIA,VIA VERDI - FORCOLI,1,Scuola,480
PI,PECCIOLI,IMPIANTI SPORTIVI: PALESTRA COMUNALE,VIA SABATINI,11,Impianto sportivo,450
PI,PISA,arpat,VITTORIO VENETO,27,edificio spogliatoio,0
PI,PISA,arpat,VITTORIO VENETO,27,edificio per uffici,0
PI,PISA,FINDOMESTIC BANCA,VIA SAN FRANCESCO 1,13,Esercizio commerciale,600
PI,PISA,FINDOMESTIC BANCA,VIA SAN FRANCESCO 1,13,Esercizio commerciale,600
PI,PISA,Circolo ricreativo dipendenti ospedalieri,VIALE D'ANNUNZIO,42,Impianto sportivo,90
PI,PISA,PENSIONATO TONIOLO,PIAZZA S. CATERINA,4,Impianto sportivo,600
