provincia,comune,Ragione sociale,indirizzo,civico,destinazione,sup_coperta
MS,LICCIANA NARDI,MUNIZIONAMENTO AVANZATO,PROVINCIALE SUD- PONTEROTTO,"",Magazzino,195
MS,LICCIANA NARDI,MUNIZIONAMENTO AVANZATO,PROVINCIALE SUD- PONTEROTTO,"",Magazzino,378
MS,LICCIANA NARDI,MUNIZIONAMENTO AVANZATO,PROVINCIALE SUD- PONTEROTTO,"",Magazzino,517
MS,LICCIANA NARDI,MUNIZIONAMENTO AVANZATO,PROVINCIALE SUD- PONTEROTTO,"",Magazzino,158
MS,LICCIANA NARDI,MUNIZIONAMENTO AVANZATO,PROVINCIALE SUD- PONTEROTTO,"",Magazzino,300
MS,LICCIANA NARDI,MUNIZIONAMENTO AVANZATO,PROVINCIALE SUD -PONTEROTTO,"",Magazzino,520
MS,MASSA,Gaia SpA,VIA FATTORIA,"",depuratore,0
MS,MASSA,arpat,del patriota,2,Ufficio aperto al pubblico,2000
MS,MONTIGNOSO,POSTE ITALIANE S.p.A.,VIA ROMA,"",Ufficio aperto al pubblico,223
MS,PONTREMOLI,COMUNITA' MONTANA DELLA LUNIGIANA,FOGLIO 34 MAPPALE 667,"",RIFUGIO,30
MS,PONTREMOLI,COMUNITA' MONTANA DELLA LUNIGIANA,FOGLIO 11 MAPPALE 109,1,Magazzino,40
MS,TRESANA,PALESTRA COMUNALE,S. ALLENDE,"",Impianto sportivo,1100
MS,TRESANA,IMPIANTI SPORTIVI: CAMPO SPORTIVO,PIAZZALE XXV APRILE,1,Ufficio aperto al pubblico,600
