provincia,comune,Ragione sociale,indirizzo,civico,destinazione,sup_coperta
SI,RADICONDOLI,ENEL - UnitÃ  territoriale di Piancastagnaio (SI),N20-N21,"",IMPIANTO GEOTERMIA,""
SI,RADICONDOLI,ENEL - UnitÃ  territoriale di Piancastagnaio (SI),Radicondoli20-N15,"",IMPIANTO GEOTERMIA,""
SI,RADICONDOLI,ENEL - UnitÃ  territoriale di Piancastagnaio (SI),Radicondoli15-N16,"",IMPIANTO GEOTERMIA,""
SI,RADICONDOLI,ENEL - UnitÃ  territoriale di Piancastagnaio (SI),Radicondoli18-N18,"",IMPIANTO GEOTERMIA,""
SI,RADICONDOLI,ENEL - UnitÃ  territoriale di Piancastagnaio (SI),N5-N6,"",IMPIANTO GEOTERMIA,""
SI,RADICONDOLI,ENEL - UnitÃ  territoriale di Piancastagnaio (SI),N8-VV101-C.Pianacce,"",IMPIANTO GEOTERMIA,""
SI,SAN CASCIANO DEI BAGNI,FORNACE S.I.L.M.A. SPA,S. S. Cassia,km148,IMPIANTO INDUSTRIALE,""
SI,SAN GIOVANNI D'ASSO,giuntini ascanio,LOC. AMPELLA,"",SITO DISMESSO,""
SI,SAN GIOVANNI D'ASSO,PASCHI GESTIONI IMMOBILIARI SpA,VIA XX SETTEMBRE,1,Ufficio aperto al pubblico,0
SI,SAN QUIRICO D'ORCIA,COTTO SENESE SPA SOCIETA' FABBRICA DI LATERIZI,Via Fornaci,55/A,IMPIANTO INDUSTRIALE,""
SI,SARTEANO,POSTE ITALIANE S.p.A.,VIA DI FUORI,15,Ufficio aperto al pubblico,125
SI,SIENA,IMPIANTI SPORTIVI: CIRCOLO ARCI SANT'ANDREA,STRADA GROSSETANA,55,Circolo ricreativo e sede partito politi,10000
SI,SIENA,IMPIANTI SPORTIVI: CIRCOLO ARCI SANT'ANDREA,STRADA GROSSETANA,55,Circolo ricreativo e sede partito politi,10000
SI,SIENA,SCALA,PIAZZA DUOMO,1,complesso museale,35000
SI,SIENA,PASCHI GESTIONI IMMOBILIARI SpA,VIA SETTANO QUINTO,15,Ufficio aperto al pubblico,0
SI,SIENA,PASCHI GESTIONI IMMOBILIARI SpA,PIAZZA SALIMBENI,3,Ufficio aperto al pubblico,0
SI,SIENA,PASCHI GESTIONI IMMOBILIARI SpA,VIA CAMOLLIA,85,Ufficio aperto al pubblico,0
SI,SIENA,LARNIANO,STRADA DI PRESCIANO,52,essiccatoio,225
SI,SINALUNGA,POSTE ITALIANE S.p.A.,PIAZZA DEL POPOLO,"",Ufficio aperto al pubblico,125
SI,SINALUNGA,POSTE ITALIANE S.p.A.,VIA PIAVE,1,Ufficio aperto al pubblico,276
SI,SINALUNGA,POSTE ITALIANE S.p.A.,VIA GIORGIO VASARI,3,Ufficio aperto al pubblico,314
SI,SINALUNGA,LA FERROVIARIA ITALIANA SPA SERVICE srl,VIA ALFIERI,23,Autorimessa,3537
SI,SOVICILLE,POSTE ITALIANE S.p.A.,VIA NUOVA,60,Ufficio aperto al pubblico,125
SI,SOVICILLE,COMUNE DI SOVICILLE,VIA DELLA MURATA - ROSIA,"",Scuola,375
SI,SOVICILLE,COMUNE DI SOVICILLE,VIA DEL POGGIO - SAN ROCCO A PILLI,"",Scuola,1100
SI,SOVICILLE,COMUNE DI SOVICILLE,ZONA INDUSTRIALE LA MACCHIA,"",Autorimessa,1216
SI,SOVICILLE,COMUNE DI SOVICILLE,VIA DEI NOCINI - SOVICILLE,"",Magazzino,76
SI,SOVICILLE,PASCHI GESTIONI IMMOBILIARI SpA,PIAZZA RUTILIO MANETTI,4,Ufficio aperto al pubblico,0
SI,TORRITA DI SIENA,POSTE ITALIANE S.p.A.,VIA SVIZZERA,1,Ufficio aperto al pubblico,289
