,provincia,comune,Ragione sociale,indirizzo,civico,destinazione,sup_coperta,geo,coordinate,latitudine,longitudine
31,AR,MONTEVARCHI,IMPIANTI SPORTIVI: CIRCOLO CULTURALE RICREATIVO PESTELLO,VIA MINCIO,44,Esercizio commerciale,500,MONTEVARCHI VIA MINCIO,"(43.5167486, 11.5608416)",43.5167486,11.5608416
32,AR,PERGINE VALDARNO,SCUOLA MEDIA PERGINE,VECCHIA ARETINA,,Impianto sportivo,10000,PERGINE VALDARNO VECCHIA ARETINA,"(43.4968017, 11.6595045)",43.4968017,11.6595045
33,AR,PERGINE VALDARNO,SCUOLA MEDIA PERGINE,F.LLI BANDIERA,27,Scuola,300,PERGINE VALDARNO F.LLI BANDIERA,,,
34,AR,PERGINE VALDARNO,SCUOLA MEDIA PERGINE,VALLELUNGA,41,CENTRO SOCIO CULTURALE,400,PERGINE VALDARNO VALLELUNGA,,,
35,AR,PERGINE VALDARNO,SCUOLA MEDIA PERGINE,PIAZZA DEL COMUNE,29,Ufficio aperto al pubblico,250,PERGINE VALDARNO PIAZZA DEL COMUNE,,,
36,AR,PERGINE VALDARNO,SCUOLA MEDIA PERGINE,VIA CAVOUR,37,Scuola,1000,PERGINE VALDARNO VIA CAVOUR,,,
37,AR,PERGINE VALDARNO,SCUOLA MEDIA PERGINE,VIA CINECITTA',2,Scuola,1000,PERGINE VALDARNO VIA CINECITTA',,,
38,AR,PIAN DI SCO,COMUNE DI PIAN DI SCO,PIAZZA INDIPENDENZA,5,Magazzino,616,PIAN DI SCO PIAZZA INDIPENDENZA,,,
39,AR,PIAN DI SCO,COMUNE DI PIAN DI SCO,P.ZZA DEL MUNICIPIO,3,Ufficio aperto al pubblico,234.39,PIAN DI SCO P.ZZA DEL MUNICIPIO,,,
40,AR,POPPI,UFFICIO TERRITORIALE PER LA BIODIVERSITA',FANGACCI,2,alloggio e foresteria,0,POPPI FANGACCI,"(43.8011123, 11.8669748)",43.8011123,11.8669748
41,AR,POPPI,UFFICIO TERRITORIALE PER LA BIODIVERSITA',NAZIONALE,14,alloggio di servizio,0,POPPI NAZIONALE,,,
42,AR,POPPI,UFFICIO TERRITORIALE PER LA BIODIVERSITA',COTOZZO,,rifugio,24,POPPI COTOZZO,"(43.79304, 11.8322477)",43.79304,11.8322477
43,AR,POPPI,UFFICIO TERRITORIALE PER LA BIODIVERSITA',RIFUGIO SECCHIETA,,rifugio,20,POPPI RIFUGIO SECCHIETA,"(43.7973888, 11.8066945)",43.7973888,11.8066945
44,AR,POPPI,UFFICIO TERRITORIALE PER LA BIODIVERSITA',MONTANINO,,Condominio,140,POPPI MONTANINO,"(43.7816301, 11.8084341)",43.7816301,11.8084341
45,AR,POPPI,UFFICIO TERRITORIALE PER LA BIODIVERSITA',FANGACCI,1,rifugio,0,POPPI FANGACCI,"(43.8011123, 11.8669748)",43.8011123,11.8669748
46,AR,POPPI,UFFICIO TERRITORIALE PER LA BIODIVERSITA',MANDRIOLI,5,abitazione,0,POPPI MANDRIOLI,,,
47,AR,POPPI,UFFICIO TERRITORIALE PER LA BIODIVERSITA',METALETO,,Magazzino,32,POPPI METALETO,"(43.788877, 11.8172031)",43.788877,11.8172031
48,AR,POPPI,UFFICIO TERRITORIALE PER LA BIODIVERSITA',FIUME D ISOLA,,alloggi di servizio,0,POPPI FIUME D ISOLA,,,
49,AR,POPPI,UFFICIO TERRITORIALE PER LA BIODIVERSITA',METALETO,,Condominio,170,POPPI METALETO,"(43.788877, 11.8172031)",43.788877,11.8172031
50,AR,PRATOVECCHIO,UFFICIO TERRITORIALE PER LA BIODIVERSITA',PRATO ALLE COGNE,,Condominio,320,PRATOVECCHIO PRATO ALLE COGNE,"(43.8093261, 11.7772687)",43.8093261,11.7772687
52,AR,SAN GIOVANNI VALDARNO,COMUNE DI SAN GIOVANNI VALDARNO ASSESSORATO AI LAVORI PUBBLICI E SERVIZI TECNICI CANTIERE,VIA PONTE ALLE FORCHE,,Capannone industriale,500,SAN GIOVANNI VALDARNO VIA PONTE ALLE FORCHE,,,
53,AR,SAN GIOVANNI VALDARNO,TOSCANA ENERGIA SPA (ex TOSCANA GAS SPA),GADDA,,impianto di riduzione gas metano,90,SAN GIOVANNI VALDARNO GADDA,,,
54,AR,SAN GIOVANNI VALDARNO,PARROCCHIA SANTISSIMI PIETRO E PAOLO,VIA I MAGGIO,15,Luogo di culto,90,SAN GIOVANNI VALDARNO VIA I MAGGIO,"(43.5587611, 11.5367111)",43.5587611,11.5367111
55,AR,SANSEPOLCRO,Direzione Didattica Statale Sansepolcro,LARGO MONS. LIEGRO,,Scuola,0,SANSEPOLCRO LARGO MONS. LIEGRO,,,
56,AR,SANSEPOLCRO,Direzione Didattica Statale Sansepolcro,PIAZZA SANTA CHIARA,5,Scuola,0,SANSEPOLCRO PIAZZA SANTA CHIARA,"(43.5701771, 12.1392515)",43.5701771,12.1392515
57,AR,SANSEPOLCRO,Direzione Didattica Statale Sansepolcro,VIA ANTONY CLARKE,,Scuola,0,SANSEPOLCRO VIA ANTONY CLARKE,,,
58,AR,SANSEPOLCRO,Direzione Didattica Statale Sansepolcro,"FRAZ. VANNOCCHIA, GRAGNANO",,Scuola,350,"SANSEPOLCRO FRAZ. VANNOCCHIA, GRAGNANO",,,
59,AR,SUBBIANO,POSTE ITALIANE S.p.A.,VIA DON LORENZO BOSCHI,3,Ufficio aperto al pubblico,196,SUBBIANO VIA DON LORENZO BOSCHI,"(43.576172, 11.8711565)",43.576172,11.8711565
60,AR,TERRANUOVA BRACCIOLINI,POSTE ITALIANE S.p.A.,VIALE EUROPA,45,Ufficio aperto al pubblico,297,TERRANUOVA BRACCIOLINI VIALE EUROPA,"(43.549587, 11.5858618)",43.549587,11.5858618
0,FI,BAGNO A RIPOLI,Azienda Sanitaria Firenze,VIA DELL'ANTELLA - PONTE A NICCHERI,58,Ospedale/Casa di cura,0,BAGNO A RIPOLI VIA DELL'ANTELLA - PONTE A NICCHERI,,,
1,FI,BAGNO A RIPOLI,Azienda Sanitaria Firenze,VIA POGGIO DELLA PIEVE,2,Servizio Igiene Pubblica,0,BAGNO A RIPOLI VIA POGGIO DELLA PIEVE,"(43.7532837, 11.3079035)",43.7532837,11.3079035
2,FI,BAGNO A RIPOLI,Azienda Sanitaria Firenze,VIA DELL'ANTELLA - PONTE A EMA,19,Distretto socio-sanitario,0,BAGNO A RIPOLI VIA DELL'ANTELLA - PONTE A EMA,,,
3,FI,BARBERINO DI MUGELLO,PREFETTURA DI FIRENZE,VIA VALIANO,31,Magazzino,3450,BARBERINO DI MUGELLO VIA VALIANO,"(43.9837871, 11.2299226)",43.9837871,11.2299226
4,FI,BARBERINO VAL D'ELSA,IMPIANTI SPORTIVI: SCUOLA ELEMENTARE MEDIA,CASSIA,49,Impianto sportivo,222,BARBERINO VAL D'ELSA CASSIA,"(43.5386067, 11.1697836)",43.5386067,11.1697836
5,FI,BARBERINO VAL D'ELSA,FONDERIA SAN MARTINO SRL,Via Verdi,2/4/6/8,IMPIANTO INDUSTRIALE,,BARBERINO VAL D'ELSA Via Verdi,"(43.4869917, 11.1458442)",43.4869917,11.1458442
6,FI,BORGO SAN LORENZO,POSTE ITALIANE S.p.A.,VIA SACCO E VANZETTI,,Ufficio aperto al pubblico,641,BORGO SAN LORENZO VIA SACCO E VANZETTI,"(43.9531071, 11.3831748)",43.9531071,11.3831748
7,FI,BORGO SAN LORENZO,MUGELLO,STRADA COMUNALE LUCO RONTA,,Impianto sportivo,30,BORGO SAN LORENZO STRADA COMUNALE LUCO RONTA,,,
8,FI,BORGO SAN LORENZO,COMPAGNIA CARABINIERI,piazza a. gramsci,26,caserma cc,0,BORGO SAN LORENZO piazza a. gramsci,,,
9,FI,BORGO SAN LORENZO,TOSCANA ENERGIA S.p.A.,VIALE PAPA GIOVANNI XXIII,32,Ufficio,750,BORGO SAN LORENZO VIALE PAPA GIOVANNI XXIII,,,
10,FI,BORGO SAN LORENZO,Azienda Sanitaria Firenze,VIALE DELLA RESISTENZA,60,Ospedale/Casa di cura,0,BORGO SAN LORENZO VIALE DELLA RESISTENZA,"(43.9567308, 11.3726799)",43.9567308,11.3726799
11,FI,CAMPI BISENZIO,POSTE ITALIANE S.p.A.,VIA FERRUCCI,,Ufficio aperto al pubblico,337,CAMPI BISENZIO VIA FERRUCCI,"(43.8224013, 11.1384705)",43.8224013,11.1384705
12,FI,CAPRAIA E LIMITE,COMUNE DI CAPRAIA E LIMITE MAGAZZINO COMUNALE,VIA DELLE GINESTRE,14,Magazzino,1000,CAPRAIA E LIMITE VIA DELLE GINESTRE,,,
13,FI,CAPRAIA E LIMITE,ex cantieri di pisa alisei srl,VIA D. ALIGHIERI,,SITO DISMESSO,,CAPRAIA E LIMITE VIA D. ALIGHIERI,,,
14,FI,CASTELFIORENTINO,ex zuccherificio,LOC. GRANAIOLO,,SITO DISMESSO,,CASTELFIORENTINO LOC. GRANAIOLO,,,
15,FI,CASTELFIORENTINO,IMPIANTI SPORTIVI: PALAZZETTO DELLO SPORT,VIALE F.D. ROOSEVELT,,Impianto sportivo,1386,CASTELFIORENTINO VIALE F.D. ROOSEVELT,,,
16,FI,CASTELFIORENTINO,ex conceria fbc snc,LOC. RIMORTI,,SITO DISMESSO,,CASTELFIORENTINO LOC. RIMORTI,,,
17,FI,CASTELFIORENTINO,ARMA CARABINIERI,via Niccoli,39,Ufficio aperto al pubblico,449.28,CASTELFIORENTINO via Niccoli,"(43.5949632, 10.9338836)",43.5949632,10.9338836
18,FI,CASTELFIORENTINO,TOSCANA ENERGIA SPA (ex TOSCANA GAS SPA),DEL PANTANO,,impianto di riduzione gas metano,95,CASTELFIORENTINO DEL PANTANO,"(43.5977358, 10.9617758)",43.5977358,10.9617758
19,FI,CASTELFIORENTINO,TOSCANA ENERGIA SPA (ex TOSCANA GAS SPA),S.P. 4 VOLTERRANA,,impianto di riduzione gas metano,70,CASTELFIORENTINO S.P. 4 VOLTERRANA,,,
20,FI,GRANAIOLO,ex pulp industria laterizi,VIA NICCOLI  granaiolo,380,SITO DISMESSO,,GRANAIOLO VIA NICCOLI  granaiolo,"(43.6520897, 10.9453237)",43.6520897,10.9453237
21,FI,CERRETO GUIDI,Comune di Cerreto Guidi,GAVONCHI,4,Impianto sportivo,700,CERRETO GUIDI GAVONCHI,"(43.7598823, 10.8745981)",43.7598823,10.8745981
22,FI,CERRETO GUIDI,Comune di Cerreto Guidi,VIA DEL LUPO,343/a,Impianto sportivo,90,CERRETO GUIDI VIA DEL LUPO,"(43.7793106, 10.8345961)",43.7793106,10.8345961
23,FI,CERTALDO,ex fertilizzanti,VIA LAMA,,SITO DISMESSO,,CERTALDO VIA LAMA,"(43.5491911, 11.0335243)",43.5491911,11.0335243
24,FI,CERTALDO,laterizi certaldese srl,SS.429,,SITO DISMESSO,,CERTALDO SS.429,"(43.5485653, 11.0436398066)",43.5485653,11.0436398066
25,FI,CERTALDO,COMUNE DI CERTALDO SALA CONSIGLIARE,2 GIUGNO,50,luogo di riunioni,305,CERTALDO 2 GIUGNO,"(43.54806, 11.0405326)",43.54806,11.0405326
26,FI,CERTALDO,TOSCANA ENERGIA SPA (ex TOSCANA GAS SPA),DEL TORRIONE,,impianto di riduzione gas metano,55,CERTALDO DEL TORRIONE,,,
27,FI,CERTALDO,IMPIANTI SPORTIVI: CS COMUNALE,DON MINZONI,,Impianto sportivo,351,CERTALDO DON MINZONI,"(43.5434018, 11.0384097)",43.5434018,11.0384097
28,FI,CERTALDO,Comune di Certaldo,canonica,,Scuola,1500,CERTALDO canonica,"(43.559357, 11.0360789)",43.559357,11.0360789
29,FI,CERTALDO,Comune di Certaldo,via Don Sturzo,,Scuola,550,CERTALDO via Don Sturzo,"(43.5549289, 11.0357961)",43.5549289,11.0357961
30,FI,CERTALDO,Comune di Certaldo,Piano,,Scuola,410,CERTALDO Piano,"(43.56997, 11.0132499)",43.56997,11.0132499
31,FI,CERTALDO,TOSCANA ENERGIA SPA (ex TOSCANA GAS SPA),MONTEBELLO,,impianto di riduzione gas metano,100,CERTALDO MONTEBELLO,,,
32,FI,CERTALDO,IMPIANTI SPORTIVI: PALASPORT,CANONICA,,Impianto industriale,715,CERTALDO CANONICA,"(43.559357, 11.0360789)",43.559357,11.0360789
