,provincia,comune,Ragione sociale,indirizzo,civico,destinazione,sup_coperta,geo,coordinate,latitudine,longitudine
80,FI,FIRENZE,Azienda Ospedaliero-Universitaria Careggi,viale Pieraccini,17,Ospedale/Casa di cura,0,FIRENZE viale Pieraccini,"(43.8069029, 11.2498042)",43.8069029,11.2498042
81,FI,FIRENZE,BIBLIOTECA MEDICEA LAURENZIANA,VIA FAENTINA,102,ex convento,1330,FIRENZE VIA FAENTINA,"(43.7915418, 11.2696589)",43.7915418,11.2696589
82,FI,FIRENZE,ARENA PALACONGRESSI VILLA VITTORIA,VIALE STROZZI,1,Cinema/teatro/spettacoli,25000,FIRENZE VIALE STROZZI,"(43.771275, 11.2519826419)",43.771275,11.2519826419
84,FI,FIRENZE,SEVES SPA (EX VETROARREDO SEDIVER SPA),REGINALDO GIULIANI,360,IMPIANTO INDUSTRIALE,,FIRENZE REGINALDO GIULIANI,"(43.799187, 11.2390804)",43.799187,11.2390804
85,FI,FIRENZE,NUOVO PIGNONE SPA,via F. Matteucci,2,IMPIANTO INDUSTRIALE,,FIRENZE via F. Matteucci,,,
86,FI,FIRENZE,COMUNE DI FIRENZE,VIA DEI VESPUCCI,5/a,Impianto sportivo,0,FIRENZE VIA DEI VESPUCCI,"(43.795937, 11.1944054)",43.795937,11.1944054
87,FI,FIRENZE,COMUNE DI FIRENZE,LUNGARNO DEL TEMPIO,,Parco,0,FIRENZE LUNGARNO DEL TEMPIO,,,
88,FI,FIRENZE,COMUNE DI FIRENZE,VIALE POGGI,2,Parco,0,FIRENZE VIALE POGGI,"(43.7635938, 11.2648623)",43.7635938,11.2648623
89,FI,FIRENZE,COMUNE DI FIRENZE,VIUZZO DELLA CAVALLA,1a,Scuola,0,FIRENZE VIUZZO DELLA CAVALLA,,,
90,FI,FIRENZE,COMUNE DI FIRENZE,VIA DELL'ARDIGLIONE,30/a,Scuola,0,FIRENZE VIA DELL'ARDIGLIONE,"(43.7679129, 11.2452963)",43.7679129,11.2452963
91,FI,FIRENZE,COMUNE DI FIRENZE,PIAZZA PIER VETTORI,7/d,Scuola,0,FIRENZE PIAZZA PIER VETTORI,"(43.7715733, 11.2326479)",43.7715733,11.2326479
92,FI,FIRENZE,COMUNE DI FIRENZE,VIALE GUIDONI,174,Ufficio aperto al pubblico,0,FIRENZE VIALE GUIDONI,"(43.7972478, 11.2228553)",43.7972478,11.2228553
93,FI,FIRENZE,COMUNE DI FIRENZE,VIALE F. REDI,19,Ufficio aperto al pubblico,0,FIRENZE VIALE F. REDI,,,
94,FI,FIRENZE,COMUNE DI FIRENZE,VIA MANNELLI,119,Ufficio aperto al pubblico,0,FIRENZE VIA MANNELLI,"(43.7740067, 11.2793879)",43.7740067,11.2793879
95,FI,FIRENZE,COMUNE DI FIRENZE,VIALE AERONAUTICA,8,Ufficio aperto al pubblico,0,FIRENZE VIALE AERONAUTICA,,,
96,FI,FIRENZE,SEVES SPA (EX VETROARREDO SEDIVER SPA),REGINALDO GIULIANI,360,IMPIANTO INDUSTRIALE,,FIRENZE REGINALDO GIULIANI,"(43.799187, 11.2390804)",43.799187,11.2390804
97,FI,FIRENZE,arpat,PONTE ALLE MOSSE,211,edificio C- centrale termica,0,FIRENZE PONTE ALLE MOSSE,,,
98,FI,FIRENZE,Azienda Sanitaria Firenze,VIALE CORSICA,4,Servizio Veterinaria,0,FIRENZE VIALE CORSICA,"(43.7918078, 11.2384215)",43.7918078,11.2384215
99,FI,FIRENZE,SEVES SPA (EX VETROARREDO SEDIVER SPA),REGINALDO GIULIANI,360,IMPIANTO INDUSTRIALE,,FIRENZE REGINALDO GIULIANI,"(43.799187, 11.2390804)",43.799187,11.2390804
100,FI,FIRENZE,COMUNE DI FIRENZE,VIA DELL'ULIVO,4-6,Cinema/teatro/spettacoli,0,FIRENZE VIA DELL'ULIVO,"(43.7710629, 11.2622526)",43.7710629,11.2622526
101,FI,FIRENZE,COMUNE DI FIRENZE,CORELLI,21,pavimento uffici e spogliatoi,0,FIRENZE CORELLI,"(43.7902252, 11.2172692)",43.7902252,11.2172692
102,FI,FIRENZE,COMUNE DI FIRENZE,VILLAMAGNA,41a,scuola calcio firenze sud,15,FIRENZE VILLAMAGNA,"(43.7618079, 11.3830849)",43.7618079,11.3830849
103,FI,FIRENZE,COMUNE DI FIRENZE,VIA PERFETTI RICASOLI,,Parco,0,FIRENZE VIA PERFETTI RICASOLI,"(43.8059743, 11.2266023)",43.8059743,11.2266023
104,FI,FIRENZE,COMUNE DI FIRENZE,VIALE GUIDONI,,Parco,0,FIRENZE VIALE GUIDONI,"(43.7972478, 11.2228553)",43.7972478,11.2228553
105,FI,FIRENZE,COMUNE DI FIRENZE,VIA FORLANINI,,PArco,0,FIRENZE VIA FORLANINI,"(43.7900592, 11.2287869)",43.7900592,11.2287869
106,FI,FIRENZE,COMUNE DI FIRENZE,VIA FORLANINI,,PArco,0,FIRENZE VIA FORLANINI,"(43.7900592, 11.2287869)",43.7900592,11.2287869
107,FI,FIRENZE,COMUNE DI FIRENZE,VIALE VISARNO,,Ufficio aperto al pubblico,0,FIRENZE VIALE VISARNO,"(43.7834399, 11.2229145)",43.7834399,11.2229145
108,FI,FIRENZE,COMUNE DI FIRENZE,VIALE M. FANTI,5,Autorimessa,0,FIRENZE VIALE M. FANTI,,,
109,FI,FIRENZE,PROFESSIONALE,VIA DEL TERZOLLE,91,Scuola,6000,FIRENZE VIA DEL TERZOLLE,"(43.7948791, 11.2370546)",43.7948791,11.2370546
110,FI,FIRENZE,COMUNE DI FIRENZE,VIA DI UGNANO,17,laboratorio,0,FIRENZE VIA DI UGNANO,"(43.7861153, 11.163611)",43.7861153,11.163611
111,FI,FIRENZE,COMUNE DI FIRENZE,VIALE GUIDONI,178/a,Magazzino,0,FIRENZE VIALE GUIDONI,"(43.7972478, 11.2228553)",43.7972478,11.2228553
112,FI,FIRENZE,COMUNE DI FIRENZE,VIA DE' BALDOVINI,1,Magazzino,0,FIRENZE VIA DE' BALDOVINI,"(43.7636639, 11.2751918)",43.7636639,11.2751918
113,FI,FIRENZE,COMUNE DI FIRENZE,VIA ERBOSA,113,Magazzino,0,FIRENZE VIA ERBOSA,"(43.7613911, 11.2908754)",43.7613911,11.2908754
114,FI,FIRENZE,SEVES SPA (EX VETROARREDO SEDIVER SPA),REGINALDO GIULIANI,360,IMPIANTO INDUSTRIALE,,FIRENZE REGINALDO GIULIANI,"(43.799187, 11.2390804)",43.799187,11.2390804
115,FI,FIRENZE,COMMISSIONE SINODALE PER LA DIACONIA,DE' SERRAGLI,49,casa per ferie,1930,FIRENZE DE' SERRAGLI,"(43.77677325, 11.2549616362)",43.77677325,11.2549616362
116,FI,FIRENZE,arpat,PONTE ALLE MOSSE,211,edificio A,0,FIRENZE PONTE ALLE MOSSE,,,
117,FI,FIRENZE,PROFESSIONALE,VIA PANCIATICHI,,Scuola,2000,FIRENZE VIA PANCIATICHI,"(43.8004077, 11.2334545)",43.8004077,11.2334545
118,FI,FIRENZE,Fondazione Teatro del Maggio Musicale Fiorentino,via Solferino,15,Cinema/teatro/spettacoli,23000,FIRENZE via Solferino,,,
119,FI,FIRENZE,COMUNE DI FIRENZE,VIA SAN MINIATO,6,Ufficio,0,FIRENZE VIA SAN MINIATO,"(43.7639758, 11.2614379)",43.7639758,11.2614379
120,FI,FIRENZE,COMUNE DI FIRENZE,VIA CIRCONDARIA,,Ufficio,0,FIRENZE VIA CIRCONDARIA,"(43.7883723, 11.2353766)",43.7883723,11.2353766
121,FI,FIRENZE,COMUNE DI FIRENZE,VIA NICOLODI,,Ufficio,0,FIRENZE VIA NICOLODI,"(43.7846451, 11.285406)",43.7846451,11.285406
122,FI,FIRENZE,Azienda Ospedaliero-Universitaria Careggi,viale Pieraccini,17,Ospedale/Casa di cura,0,FIRENZE viale Pieraccini,"(43.8069029, 11.2498042)",43.8069029,11.2498042
123,FI,FIRENZE,ex oleificio nucci,"VIA PISTOIESE, 318 FIRENZE",,SITO DISMESSO,,"FIRENZE VIA PISTOIESE, 318 FIRENZE",,,
124,FI,FIRENZE,Azienda Ospedaliero-Universitaria Careggi,largo Palagi,1,Ospedale/Casa di cura,38000,FIRENZE largo Palagi,"(43.8028053, 11.2473964)",43.8028053,11.2473964
126,FI,FIRENZE,Azienda Ospedaliero-Universitaria Careggi,viale Pieraccini,17,Ospedale/Casa di cura,0,FIRENZE viale Pieraccini,"(43.8069029, 11.2498042)",43.8069029,11.2498042
127,FI,FIRENZE,COMUNE DI FIRENZE,LUNGARNO ALLE GRAZIE,22,canna fumaria,0,FIRENZE LUNGARNO ALLE GRAZIE,,,
128,FI,FIRENZE,COMUNE DI FIRENZE,PIAZZA 1 MAGGIO,4,Ufficio,0,FIRENZE PIAZZA 1 MAGGIO,,,
129,FI,FIRENZE,IMPIANTI SPORTIVI: TIRO A SEGNO NAZIONALE,PIAZZALE DELLE CASCINE,6,Impianto sportivo,0,FIRENZE PIAZZALE DELLE CASCINE,"(43.7819609, 11.2204291)",43.7819609,11.2204291
130,FI,FIRENZE,SCUOLA ELEMENTARE DON LORENZO MILANI,PIAZZA DOLCI,1,Scuola,2520,FIRENZE PIAZZA DOLCI,,,
131,FI,FIRENZE,OSPIZIO ISRAELITICO SAADUN,VIA CARDUCCI,11/B,CASA DI RIPOSO PER ANZIANI,2460,FIRENZE VIA CARDUCCI,"(45.7584805, 11.7418484)",45.7584805,11.7418484
132,FI,FIRENZE,Congregazione delle Suore Oblate Ospitaliere,VIA SAN DOMENICO,46,Ospedale/Casa di cura,2189,FIRENZE VIA SAN DOMENICO,"(43.8079204, 11.1152792)",43.8079204,11.1152792
133,FI,FIRENZE,PIO ISTITUTO SANT'ANNA,VIA FORTINI BENEDETTO,40,convento,3000,FIRENZE VIA FORTINI BENEDETTO,"(43.7417046, 11.2873265)",43.7417046,11.2873265
134,FI,FIRENZE,COMUNE DI FIRENZE,MASSAPAGANI,26,Ufficio,0,FIRENZE MASSAPAGANI,"(43.7374659, 11.2288415)",43.7374659,11.2288415
135,FI,FIRENZE,SCUOLA ELEMENTARE BALDUCCI,VIUZZO DELLA CAVALLA,,Scuola,0,FIRENZE VIUZZO DELLA CAVALLA,,,
136,FI,FIRENZE,ASSEMBLEE DI DIO IN ITALIA,VIA DI BROZZI,214/A,Luogo di culto,190,FIRENZE VIA DI BROZZI,"(43.7939947, 11.1725567)",43.7939947,11.1725567
137,FI,FIRENZE,NUOVO PIGNONE SPA,via Perfetti Ricasoli,78,IMPIANTO INDUSTRIALE,,FIRENZE via Perfetti Ricasoli,"(43.8059743, 11.2266023)",43.8059743,11.2266023
138,FI,FIRENZE,TOSCANA ENERGIA S.p.A.,PIAZZA E. MATTEI,3,Ufficio,1170,FIRENZE PIAZZA E. MATTEI,,,
139,FI,FIRENZE,MUSEO ARCHEOLOGICO,VIA DELLA COLONNA,38,museo,4000,FIRENZE VIA DELLA COLONNA,"(43.7748257, 11.2645847)",43.7748257,11.2645847
140,FI,FIRENZE,COMUNE DI FIRENZE,FARINI,12,Ufficio,0,FIRENZE FARINI,"(43.7730927, 11.2654993)",43.7730927,11.2654993
141,FI,FIRENZE,COMUNE DI FIRENZE,VIA A. DEL CASTAGNO,3,Ufficio aperto al pubblico,0,FIRENZE VIA A. DEL CASTAGNO,,,
142,FI,FIRENZE,COMUNE DI FIRENZE,DELL' ORIUOLO,31,Cinema/teatro/spettacoli,0,FIRENZE DELL' ORIUOLO,,,
143,FI,FIRENZE,COMUNE DI FIRENZE,VIA DEL CIMITERO DEL PINO,1,Cimitero,0,FIRENZE VIA DEL CIMITERO DEL PINO,"(43.7543828, 11.306053)",43.7543828,11.306053
144,FI,FIRENZE,COMUNE DI FIRENZE,VIA VAL D'OMBRONE,2-14,Condominio,0,FIRENZE VIA VAL D'OMBRONE,,,
145,FI,FIRENZE,COMUNE DI FIRENZE,VIA DE' BASSI,12,Laboratorio,0,FIRENZE VIA DE' BASSI,"(43.7813108, 11.202312)",43.7813108,11.202312
146,FI,FIRENZE,COMUNE DI FIRENZE,VIA BRONZINO,,Condominio,0,FIRENZE VIA BRONZINO,"(43.7734901, 11.2318779)",43.7734901,11.2318779
147,FI,FIRENZE,COMUNE DI FIRENZE,VIALE MICHELANGELO,80,campeggio,0,FIRENZE VIALE MICHELANGELO,"(43.5954449, 11.1962027)",43.5954449,11.1962027
148,FI,FIRENZE,COMUNE DI FIRENZE,VIA BOLOGNESE,449,Cimitero,0,FIRENZE VIA BOLOGNESE,"(43.8107555, 11.273489)",43.8107555,11.273489
149,FI,FIRENZE,COMUNE DI FIRENZE,VIA DI VILLAMAGNA,41,Cinema/teatro/spettacoli,0,FIRENZE VIA DI VILLAMAGNA,"(43.7633879, 11.2859977)",43.7633879,11.2859977
150,FI,FIRENZE,COMUNE DI FIRENZE,PIAZZA ARTOM,1,Autorimessa,0,FIRENZE PIAZZA ARTOM,,,
151,FI,FIRENZE,COMUNE DI FIRENZE,VIA PISANA,854/a,Ospedale/Casa di cura,0,FIRENZE VIA PISANA,"(43.7719193, 11.2325173)",43.7719193,11.2325173
152,FI,FIRENZE,COMUNE DI FIRENZE,R. GIULIANI,250,presidio socio-sanitario asl 10 firenze,70,FIRENZE R. GIULIANI,"(43.8024951, 11.2367979)",43.8024951,11.2367979
153,FI,FIRENZE,COMUNE DI FIRENZE,VIA DELLA CHIESA,66,Ospedale/Casa di cura,0,FIRENZE VIA DELLA CHIESA,"(43.7761022, 10.7162653)",43.7761022,10.7162653
154,FI,FIRENZE,COMUNE DI FIRENZE,VIALE GIANNOTTI,41,Scuola,0,FIRENZE VIALE GIANNOTTI,"(43.7566084, 11.2888794)",43.7566084,11.2888794
155,FI,FIRENZE,COMUNE DI FIRENZE,VIALE G.B. MORGAGNI,22,Scuola,0,FIRENZE VIALE G.B. MORGAGNI,,,
156,FI,FIRENZE,COMUNE DI FIRENZE,CAMPANIA,20,Scuola,150,FIRENZE CAMPANIA,"(43.7909878, 11.1613326)",43.7909878,11.1613326
157,FI,FIRENZE,COMUNE DI FIRENZE,VIA SANTA MARIA A CINTOIA,1/19,Biblioteca,0,FIRENZE VIA SANTA MARIA A CINTOIA,,,
158,FI,FIRENZE,COMUNE DI FIRENZE,VIA DEL PONTORMO,98,Scuola,0,FIRENZE VIA DEL PONTORMO,"(43.8190438, 11.2305558)",43.8190438,11.2305558
159,FI,FIRENZE,COMUNE DI FIRENZE,A. CORSALI,3,Scuola,0,FIRENZE A. CORSALI,"(43.7912564, 11.2322582)",43.7912564,11.2322582
160,FI,FIRENZE,COMUNE DI FIRENZE,PANCIATICHI,73,Scuola,0,FIRENZE PANCIATICHI,"(43.77493745, 11.2562157839)",43.77493745,11.2562157839
161,FI,FIRENZE,COMUNE DI FIRENZE,DI LEGNAIA,6/8,Scuola,0,FIRENZE DI LEGNAIA,"(43.76974545, 11.2065980217)",43.76974545,11.2065980217
162,FI,FIRENZE,COMUNE DI FIRENZE,MORGAGNI,32,Scuola,300,FIRENZE MORGAGNI,"(43.8006021, 11.2444554)",43.8006021,11.2444554
163,FI,FIRENZE,COMUNE DI FIRENZE,VIA PALAZZUOLO,10-12,Ufficio aperto al pubblico,0,FIRENZE VIA PALAZZUOLO,"(43.7737838, 11.2461311)",43.7737838,11.2461311
164,FI,FIRENZE,COMUNE DI FIRENZE,VIA PERFETTI RICASOLI,74-76,Ufficio aperto al pubblico,0,FIRENZE VIA PERFETTI RICASOLI,"(43.8059743, 11.2266023)",43.8059743,11.2266023
165,FI,FIRENZE,COMUNE DI FIRENZE,VIA SANTA MONACA,37,Ufficio aperto al pubblico,0,FIRENZE VIA SANTA MONACA,"(43.7679129, 11.2452963)",43.7679129,11.2452963
166,FI,FIRENZE,COMUNE DI FIRENZE,PIAZZA DELLA CALZA,2,Ufficio,200,FIRENZE PIAZZA DELLA CALZA,"(43.7608039, 11.241753)",43.7608039,11.241753
168,FI,FIRENZE,COMUNE DI FIRENZE,PIAZZALE DELLE CASCINE,12,Ufficio aperto al pubblico,0,FIRENZE PIAZZALE DELLE CASCINE,"(43.7819609, 11.2204291)",43.7819609,11.2204291
169,FI,FIRENZE,COMUNE DI FIRENZE,ERBOSA,113,Ufficio,0,FIRENZE ERBOSA,"(43.7613911, 11.2908754)",43.7613911,11.2908754
170,FI,FIRENZE,COMUNE DI FIRENZE,VIA B. FORTINI,37,Ufficio aperto al pubblico,0,FIRENZE VIA B. FORTINI,,,
171,FI,FIRENZE,Azienda Sanitaria Firenze,BORGO OGNISSANTI,20/22,Distretto socio-sanitario,0,FIRENZE BORGO OGNISSANTI,"(43.7722253, 11.2459842)",43.7722253,11.2459842
172,FI,FIRENZE,SCUOLA ELEMENTARE MAMELI,VIA A. CORSALI,3,Scuola,150,FIRENZE VIA A. CORSALI,"(43.7912564, 11.2322582)",43.7912564,11.2322582
173,FI,FIRENZE,Azienda Sanitaria Firenze,VIA REGINALDO GIULIANI,250,Distretto socio-sanitario,0,FIRENZE VIA REGINALDO GIULIANI,"(43.799187, 11.2390804)",43.799187,11.2390804
174,FI,FIRENZE,Azienda Sanitaria Firenze,VIA GABRIELE D'ANNUNZIO,29,Distretto socio-sanitario,0,FIRENZE VIA GABRIELE D'ANNUNZIO,"(43.7751492, 11.289383)",43.7751492,11.289383
175,FI,FIRENZE,COMUNE DI FIRENZE,VIA SANT'AGOSTINO,8,bagno comunale,0,FIRENZE VIA SANT'AGOSTINO,"(43.7671198, 11.2462356)",43.7671198,11.2462356
176,FI,FIRENZE,COMUNE DI FIRENZE,VIA ISONZO,26/a,Impianto sportivo,0,FIRENZE VIA ISONZO,"(43.7518815, 11.3023142)",43.7518815,11.3023142
177,FI,FIRENZE,COMUNE DI FIRENZE,PIAZZA CAVALIERI DI VITTORIO VENETO,11,Impianto sportivo,0,FIRENZE PIAZZA CAVALIERI DI VITTORIO VENETO,,,
178,FI,FIRENZE,COMUNE DI FIRENZE,VIA ACCURSIO,,Impianto sportivo,0,FIRENZE VIA ACCURSIO,"(43.7471043, 11.2381481)",43.7471043,11.2381481
179,FI,FIRENZE,COMUNE DI FIRENZE,PIAZZA ROSADI,5,Scuola,0,FIRENZE PIAZZA ROSADI,"(43.7680495, 11.2881211)",43.7680495,11.2881211
180,FI,FIRENZE,COMUNE DI FIRENZE,VIA JAHIER,15,Scuola,0,FIRENZE VIA JAHIER,"(43.7907308, 11.2649034)",43.7907308,11.2649034
181,FI,FIRENZE,COMUNE DI FIRENZE,VIA DI MANTIGNANO,154,Scuola,0,FIRENZE VIA DI MANTIGNANO,"(43.7824198, 11.1746048)",43.7824198,11.1746048
182,FI,FIRENZE,COMUNE DI FIRENZE,VIA POLICARPO PETROCCHI,17,Scuola,0,FIRENZE VIA POLICARPO PETROCCHI,"(43.8084869, 11.2261362)",43.8084869,11.2261362
183,FI,FIRENZE,COMUNE DI FIRENZE,VIA CORELLI,11,Scuola,0,FIRENZE VIA CORELLI,"(43.7902252, 11.2172692)",43.7902252,11.2172692
184,FI,FIRENZE,COMUNE DI FIRENZE,E.R. DE MONTALVO,1,Scuola,0,FIRENZE E.R. DE MONTALVO,,,
185,FI,FIRENZE,COMUNE DI FIRENZE,MONTEVERDI,1/e,Scuola,0,FIRENZE MONTEVERDI,"(43.7863732, 11.2331609)",43.7863732,11.2331609
186,FI,FIRENZE,COMUNE DI FIRENZE,VIA GIOTTO,4,Ufficio aperto al pubblico,0,FIRENZE VIA GIOTTO,"(43.7689669, 11.2737091)",43.7689669,11.2737091
187,FI,FIRENZE,COMUNE DI FIRENZE,VIA PIERLUIGI DA PALESTRINA,6,Ufficio aperto al pubblico,0,FIRENZE VIA PIERLUIGI DA PALESTRINA,"(43.7817555, 11.2401396)",43.7817555,11.2401396
188,FI,FIRENZE,COMUNE DI FIRENZE,VIA MARCONI,18/20,Ufficio aperto al pubblico,0,FIRENZE VIA MARCONI,"(43.7837652, 11.2784485)",43.7837652,11.2784485
189,FI,FIRENZE,COMUNE DI FIRENZE,VIA SENESE,208,Ufficio aperto al pubblico,0,FIRENZE VIA SENESE,"(43.7499383, 11.2358701)",43.7499383,11.2358701
190,FI,FIRENZE,COMUNE DI FIRENZE,PIAZZA ARTOM,17/18,Ufficio aperto al pubblico,0,FIRENZE PIAZZA ARTOM,,,
191,FI,FIRENZE,DIREZIONE DIDATTICA CIRCOLO N. 15,VIA MINGHETTI,2,Scuola,0,FIRENZE VIA MINGHETTI,"(43.7680342, 11.2876604)",43.7680342,11.2876604
192,FI,FIRENZE,DIREZIONE DIDATTICA CIRCOLO N. 15,VIA DELLA RIPA,14,Scuola,0,FIRENZE VIA DELLA RIPA,"(43.7674782, 11.3092331)",43.7674782,11.3092331
193,FI,FIRENZE,DIREZIONE DIDATTICA CIRCOLO N. 15,VIA DEL GUARLONE,54,Scuola,0,FIRENZE VIA DEL GUARLONE,"(43.7707821, 11.3014557)",43.7707821,11.3014557
194,FI,FIRENZE,DIREZIONE DIDATTICA CIRCOLO N. 15,VIA D. DA SETTIGNANO,28/d,Scuola,0,FIRENZE VIA D. DA SETTIGNANO,,,
195,FI,FIRENZE,COMUNE DI FIRENZE,VIALE CORSICA,4,Capannone industriale,0,FIRENZE VIALE CORSICA,"(43.7918078, 11.2384215)",43.7918078,11.2384215
196,FI,FIRENZE,Azienda Ospedaliero-Universitaria Careggi,viale Pieraccini,17,Ospedale/Casa di cura,0,FIRENZE viale Pieraccini,"(43.8069029, 11.2498042)",43.8069029,11.2498042
197,FI,FIRENZE,COMUNE DI FIRENZE,DEL SALETTO,18,Scuola,0,FIRENZE DEL SALETTO,"(43.9117784, 11.2357792)",43.9117784,11.2357792
198,FI,FIRENZE,COMUNE DI FIRENZE,VIALE UGO BASSI,24,Scuola,0,FIRENZE VIALE UGO BASSI,"(43.7845842, 11.2865156)",43.7845842,11.2865156
199,FI,FIRENZE,COMUNE DI FIRENZE,PIAZZA ALBERIGHI,3,Ufficio,0,FIRENZE PIAZZA ALBERIGHI,"(43.7717848, 11.25634)",43.7717848,11.25634
200,FI,FIRENZE,COMUNE DI FIRENZE,VIA VILLAMAGNA,41,Condominio,0,FIRENZE VIA VILLAMAGNA,"(43.7633879, 11.2859977)",43.7633879,11.2859977
201,FI,FIRENZE,COMUNE DI FIRENZE,VIA P. RICASOLI,74-76,Condominio,0,FIRENZE VIA P. RICASOLI,,,
202,FI,FIRENZE,COMUNE DI FIRENZE,VIA BACCIO BANDINELLI,17,Condominio,0,FIRENZE VIA BACCIO BANDINELLI,"(43.775832, 11.22774)",43.775832,11.22774
203,FI,FIRENZE,COMUNE DI FIRENZE,VIA PANCIATICHI,60,Cimitero,0,FIRENZE VIA PANCIATICHI,"(43.8004077, 11.2334545)",43.8004077,11.2334545
204,FI,FIRENZE,COMUNE DI FIRENZE,PIAZZA SIGNORIA,1,tubazioni e cassone,0,FIRENZE PIAZZA SIGNORIA,,,
205,FI,FIRENZE,COMUNE DI FIRENZE,DEL PODESTA',157,canna fumaria,0,FIRENZE DEL PODESTA',"(43.7390497, 11.2266148904)",43.7390497,11.2266148904
206,FI,FIRENZE,COMUNE DI FIRENZE,VIA DI SAN SALVATORE A MONTE,,Cimitero,0,FIRENZE VIA DI SAN SALVATORE A MONTE,,,
207,FI,FIRENZE,COMUNE DI FIRENZE,VIA SAN NICCOLO',89/a,Parco,0,FIRENZE VIA SAN NICCOLO',"(43.7049896, 11.105091)",43.7049896,11.105091
208,FI,FIRENZE,COMUNE DI FIRENZE,VIA CHIANTIGIANA,28,Impianto sportivo,0,FIRENZE VIA CHIANTIGIANA,"(43.7550816, 11.2985302)",43.7550816,11.2985302
210,FI,FIRENZE,COMUNE DI FIRENZE,VIA DELLE GORE,60,Luogo di culto,0,FIRENZE VIA DELLE GORE,"(43.8124301, 11.2473178)",43.8124301,11.2473178
211,FI,FIRENZE,COMUNE DI FIRENZE,PIAZZA SAN SALVI,3,Ospedale/Casa di cura,0,FIRENZE PIAZZA SAN SALVI,,,
212,FI,FIRENZE,COMUNE DI FIRENZE,VIA DELL'ANCONELLA,3,Ospedale/Casa di cura,0,FIRENZE VIA DELL'ANCONELLA,"(43.7708967, 11.2381472)",43.7708967,11.2381472
213,FI,FIRENZE,COMUNE DI FIRENZE,DELLA CHIESA,81,Scuola,0,FIRENZE DELLA CHIESA,"(43.77174725, 11.2500835452)",43.77174725,11.2500835452
214,FI,FIRENZE,COMUNE DI FIRENZE,DELLE CASINE,1,Scuola,0,FIRENZE DELLE CASINE,"(43.76837, 11.2662769)",43.76837,11.2662769
215,FI,FIRENZE,COMUNE DI FIRENZE,VIA DI RIPOLI,18,Biblioteca,0,FIRENZE VIA DI RIPOLI,"(43.7553918, 11.2978845)",43.7553918,11.2978845
216,FI,FIRENZE,COMUNE DI FIRENZE,VIA TRIPOLI,34,Biblioteca,0,FIRENZE VIA TRIPOLI,"(43.7668353, 11.2648517)",43.7668353,11.2648517
217,FI,FIRENZE,COMUNE DI FIRENZE,VIA PISANA,148,Scuola,0,FIRENZE VIA PISANA,"(43.7719193, 11.2325173)",43.7719193,11.2325173
218,FI,FIRENZE,COMUNE DI FIRENZE,DI PERETOLA,292,Scuola,0,FIRENZE DI PERETOLA,"(43.7969305, 11.1965469)",43.7969305,11.1965469
219,FI,FIRENZE,COMUNE DI FIRENZE,G.L. SPONTINI,89,Scuola,0,FIRENZE G.L. SPONTINI,,,
220,FI,FIRENZE,COMUNE DI FIRENZE,VIA DELLE PANCHE,26,Scuola,0,FIRENZE VIA DELLE PANCHE,"(43.7985891, 11.2400466)",43.7985891,11.2400466
221,FI,FIRENZE,COMUNE DI FIRENZE,F. MARTINI,29,Scuola,0,FIRENZE F. MARTINI,"(43.7805839, 11.1878983)",43.7805839,11.1878983
222,FI,FIRENZE,COMUNE DI FIRENZE,DEL SANSOVINO,33,Scuola,0,FIRENZE DEL SANSOVINO,"(43.7746578, 11.2260367)",43.7746578,11.2260367
223,FI,FIRENZE,COMUNE DI FIRENZE,SIRTORI,58,Scuola,0,FIRENZE SIRTORI,"(43.782877, 11.2914172)",43.782877,11.2914172
224,FI,FIRENZE,COMUNE DI FIRENZE,CAMBRAY DIGNY,3,Scuola,0,FIRENZE CAMBRAY DIGNY,"(43.7663208, 11.3082067)",43.7663208,11.3082067
225,FI,FIRENZE,COMUNE DI FIRENZE,G. BUGIARDINI,25,Scuola,0,FIRENZE G. BUGIARDINI,"(43.7665325, 11.1942529)",43.7665325,11.1942529
226,FI,FIRENZE,COMUNE DI FIRENZE,SER LAPO GAVACCIANI,2,Scuola,0,FIRENZE SER LAPO GAVACCIANI,"(43.7376742, 11.2274558)",43.7376742,11.2274558
227,FI,FIRENZE,COMUNE DI FIRENZE,DEL LARIONE,33,Scuola,10,FIRENZE DEL LARIONE,"(43.7580012, 11.2808357)",43.7580012,11.2808357
228,FI,FIRENZE,COMUNE DI FIRENZE,VIALE MAZZINI,82,Scuola,0,FIRENZE VIALE MAZZINI,"(43.7767148, 11.2763732)",43.7767148,11.2763732
229,FI,FIRENZE,COMUNE DI FIRENZE,C. BINI,5/A,Ufficio,0,FIRENZE C. BINI,"(43.76466675, 11.2469238685)",43.76466675,11.2469238685
230,FI,FIRENZE,COMUNE DI FIRENZE,DI BROZZI,334,Ufficio,0,FIRENZE DI BROZZI,"(43.79633915, 11.1626296515)",43.79633915,11.1626296515
231,FI,FIRENZE,COMUNE DI FIRENZE,DEL TAGLIAMENTO,4,Ufficio,0,FIRENZE DEL TAGLIAMENTO,"(43.7515779, 11.3054096)",43.7515779,11.3054096
232,FI,FIRENZE,Regione Toscana,VIA DI NOVOLI,26,,0,FIRENZE VIA DI NOVOLI,"(43.794616, 11.2170575)",43.794616,11.2170575
